Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
TEMP,1.3404404,1.3155893,2.0413208,0.843812,0.8645773,0.836045,11.3487867,1.1663123,2.3439368,2.6954562,10.976324,1.9673684
TEMP,1.4447234,1.4529093,2.1549448,1.029784,1.1471293,1.117126,16.4236767,1.2714453,2.5650518,2.8680372,15.305294,2.0449479
TEMP,1.4100174,1.4202909,2.1151268,1.1737373,1.1756303,1.2318556,18.8267037,1.1160693,2.3528808,2.7045332,16.406194,1.7459269
TEMP,1.2393434,1.7754919,2.1843288,1.2196651,1.2634356,1.2685258,21.2163437,1.0936859,2.6447118,2.6306132,17.207434,5.3509389
TEMP,1.2721,1.9727289,2.2290771,1.0933811,1.1715286,1.2500201,25.2301687,1.2072047,2.5142588,2.0295138,18.693706,10.3077329
TEMP,1.173896,1.9607043,2.1795921,1.0695566,1.3186067,1.2750701,27.0317587,1.5011826,2.788925,1.6739492,19.546666,14.6366739
TEMP,1.2824451,2.0443266,2.1236391,1.0211288,1.3418218,1.278871,28.5607437,1.6096893,3.069823,1.6606312,22.790636,18.2505396
TEMP,1.4076352,2.0915587,2.1967141,1.0435122,1.3042448,1.3253752,28.803909,1.6429617,2.919336,1.1041021,23.598949,21.3899606
TEMP,1.508817,2.2334027,2.0437811,0.9429096,1.1492129,1.4365375,29.111807,1.5888785,2.9371887,1.0368164,27.03456,25.9331812
TEMP,1.4076332,2.2695357,1.9926081,1.0127225,1.2275379,1.6299622,28.990276,1.5819256,2.6987867,0.8831944,32.3589,29.9596735
TEMP,1.2562112,2.2091607,1.6886951,1.0184075,1.3401857,1.4855812,24.134496,1.2332006,2.4361645,1.0229432,34.37913,34.4256825
TEMP,1.2428564,2.2255267,1.7276751,0.9607415,1.1515901,1.3566142,19.972791,1.1992036,2.5511755,0.9437646,33.03199,37.336683
TEMP,1.1532542,2.1957833,1.6330041,0.9218245,1.0832664,1.3085783,17.685489,1.2168326,2.4712095,0.6315221,33.64121,40.79611
TEMP,1.1434754,1.6071547,1.8464341,0.9218664,0.97557382,1.3332053,14.953729,1.2051288,2.5405745,0.7489681,36.00107,40.00098
TEMP,1.065292,1.1289322,2.013178,0.9794372,0.84610982,1.3054007,11.668579,1.2065508,3.0264635,0.8688415,35.106456,37.07751
TEMP,1.092902,1.1046419,2.30894,0.951857,0.74493142,1.3327487,9.12726,1.1505198,2.9144415,0.941729,33.797972,33.215614
TEMP,1.073167,1.0740529,2.448084,1.0053478,0.73398632,1.3389085,7.380614,1.2125458,2.7625475,0.946418,31.936642,29.851192
TEMP,1.085638,1.0177661,2.2599087,1.0203638,0.71970432,1.3236919,7.668902,1.1545916,2.9953795,0.9446767,33.331102,28.061742
TEMP,1.157348,0.7927079,2.2796547,1.1634354,0.74895992,1.1587769,7.696636,1.1914871,3.2144858,1.0385944,31.541752,24.704762
TEMP,1.1328649,0.6002637,2.2645067,1.1623324,0.65213672,1.0270409,7.147736,1.2322336,3.1861808,1.1161624,26.028332,23.435042
TEMP,1.1410239,0.7145667,2.5004377,1.2272724,0.49673537,0.9932109,6.1098943,1.2236211,3.407615,1.0458453,22.154802,20.520262
TEMP,1.0855432,0.6595845,2.7677737,1.2701244,0.42414847,1.0644619,5.9408353,1.2300324,3.636224,1.2724709,20.116895,18.705152
TEMP,1.0880523,0.738342,2.5732139,1.1469234,0.37455867,1.0613724,5.7298553,1.1208109,3.675109,1.4301404,18.432645,16.453582
