Unnamed: 0,WT,WT,WT,WT,WT,WT,WT
75,6.936193,24.4658489,5.626549081,4.49932554,4.65993939,5.89561786,5.8503263
76,6.936193,24.4658489,5.626549081,4.53832124,4.73036069,6.04488586,5.8503263
77,6.936193,24.4658489,5.626549081,4.62349324,4.74608829,6.10176056,5.8503263
78,6.936193,24.4658489,5.626549081,4.76263024,4.75100018,6.17318356,5.8503263
79,6.936193,24.4658489,5.626549081,4.89661824,4.82233678,6.44240756,5.8503263
80,6.936193,24.4658489,5.626549081,4.96581594,4.94269878,6.46578996,5.8503263
81,6.936193,24.4658489,5.626549081,5.10159294,4.99370178,6.72391296,5.8503263
82,6.936193,24.4658489,5.626549081,5.13079644,5.04329728,6.90901896,5.8503263
83,6.936193,24.4658489,5.626549081,5.24670244,5.06274538,7.07334396,5.8503263
84,6.936193,24.4658489,5.626549081,5.26642044,5.14862988,7.08423096,5.8503263
85,6.936193,24.4658489,5.626549081,5.39848944,5.26995088,7.13739966,5.8503263
86,6.936193,24.4658489,5.626549081,5.46047524,5.39745488,7.17001856,5.8503263
87,6.936193,24.4658489,5.626549081,5.50753954,5.48609238,7.26548716,5.8503263
88,6.936193,24.4658489,5.626549081,5.52481394,5.52015608,7.48540416,5.8503263
89,6.936193,24.4658489,5.626549081,5.56751044,5.56074638,7.55473436,5.8503263
90,6.936193,24.4658489,5.626549081,5.57120347,5.61074878,7.78228936,5.8503263
91,6.936193,24.4658489,5.626549081,5.59991197,5.62701808,7.83539006,5.8503263
92,6.936193,24.4658489,5.626549081,5.64608887,5.75187808,7.86126516,5.8503263
93,6.936193,24.4658489,5.626549081,5.72655877,5.81010668,7.99805216,5.8503263
94,6.936193,24.4658489,5.626549081,5.74612087,5.81828512,8.14921716,5.8503263
95,6.936193,24.4658489,5.626549081,5.84973887,5.97349912,8.28777616000001,5.8503263
96,6.936193,24.4658489,5.626549081,5.90905747,6.13821412,8.51345016,5.8503263
97,6.936193,24.4658489,5.626549081,5.93422227,6.18249022,8.59011786,5.8503263
98,6.936193,24.4658489,5.626549081,5.96616237,6.22738802,8.75909086,5.8503263
99,6.936193,24.4658489,5.626549081,5.98602607,6.33583002,8.97177786,5.8503263
100,6.936193,24.4658489,5.626549081,5.99295748,6.39876922,9.05804676000001,5.8503263
101,6.936193,24.4658489,5.626549081,6.03120078,6.52508522,9.16251476000001,5.8503263
102,6.936193,24.4658489,5.626549081,6.08315988,6.64301322,9.22479806000001,5.8503263
103,6.936193,24.4658489,5.626549081,6.11905978,6.66829482,9.28071026000001,5.8503263
104,6.936193,24.4658489,5.626549081,6.27942878,6.70825732,9.34543166000001,5.8503263
105,6.936193,24.4658489,5.626549081,6.29695748,6.76765022,9.38061456000001,5.8503263
106,6.936193,24.4658489,5.626549081,6.31131668,6.85531822,9.41390646000001,5.8503263
107,6.936193,24.4658489,5.626549081,6.40663138,6.90333262,9.44279276000001,5.8503263
108,6.936193,24.4658489,5.626549081,6.57567538,6.91529412,9.50472376000001,5.8503263
109,6.936193,24.4658489,5.626549081,6.63603438,6.97548302,9.61123676000001,5.8503263
110,6.936193,24.4658489,5.626549081,6.71456358,7.09382302,9.71200976000001,5.8503263
111,6.936193,24.4658489,5.626549081,6.73740508,7.27334602,9.78548526000001,5.8503263
112,6.936193,24.4658489,5.626549081,6.85854108,7.35436852,9.94662926000001,5.8503263
113,6.936193,24.4658489,5.626549081,6.97469108,7.40296692,9.98058776000001,5.8503263
