Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
TEMP,0.99447619,2.6194377,4.6784444,1.00583379,1.7648454,4.9856473,13.2679525,1.6907126,1.5556667,1.6895044,1.1842463,1.2172492
TEMP,1.14583119,3.4736867,4.8079234,1.13288079,1.9331304,5.3886263,13.8100975,1.9608806,1.642553,1.8972614,1.4377313,1.3125307
TEMP,1.08727579,4.0710295,4.4227671,1.16716779,1.8675878,4.3285985,6.6365285,2.199488,1.352463,2.0777514,1.4293792,1.3251246
TEMP,1.13820099,4.2128375,4.3616501,0.91047799,2.4718068,4.2808385,6.5216175,1.5651428,1.421533,2.0122504,1.5511447,1.3352782
TEMP,1.24000299,4.3435585,4.2676988,1.05722739,4.3796838,3.9074281,8.1473575,1.6003623,1.5917226,1.8941964,1.661523,1.3213539
TEMP,1.22949999,4.3406394,4.4549124,1.23606959,5.8876928,3.2556581,9.072111,1.4249683,1.5271997,1.6382705,1.7601816,1.3544997
TEMP,1.74516799,4.4816974,3.1546947,1.37782559,6.7399958,3.3370706,8.104784,1.5521993,1.5340577,1.5591835,1.6938252,1.3213252
TEMP,3.01159799,4.4578925,3.1452047,1.35062659,7.1095738,3.5280178,8.774229,1.521455,1.6051283,1.4399725,1.4375505,1.3497302
TEMP,3.5010621,4.5830485,4.0499427,1.34347949,6.9534368,3.2931878,7.765005,1.3954683,1.5586339,1.5730818,1.1596408,1.1386117
TEMP,3.6862871,4.3038032,3.6437815,1.30820229,7.2206264,3.1053748,7.061612,1.5087913,1.478385,1.7723778,1.0948267,0.9228963
TEMP,3.7337811,3.1809872,3.5628285,1.6154898,6.9757679,2.6969028,6.6411435,1.3576859,1.354965,1.7741764,0.983423,0.7581184
TEMP,3.6093643,2.4265919,3.4770055,1.6040338,6.81423717,2.9899428,6.3450625,1.1871763,1.3874897,1.8114644,0.871065,0.6754845
TEMP,3.6808802,1.8081841,3.8274868,1.4776167,6.82700237,4.3161306,7.1680715,1.0596793,1.2219336,1.6335904,0.9274291,0.9732186
TEMP,3.7402812,1.6354235,3.9376068,1.5695965,6.46860537,5.1843946,6.9700965,1.1034853,1.1406486,1.6795134,0.7786512,0.9350961
TEMP,3.4913329,1.5631975,3.9435599,1.3925279,4.44863437,6.423112,5.0360765,1.1639568,1.1699796,1.6660964,0.7129014,1.1846658
TEMP,3.4241299,1.5263729,3.8199509,1.1670398,3.10816237,6.864644,4.1454734,1.4340258,1.1957739,1.9479103,0.6238455,1.324883
TEMP,2.9007904,1.2859619,5.4638086,1.3757718,2.09171717,6.814625,4.2321734,1.3064668,1.0918229,2.0162913,0.6972869,1.3689804
TEMP,1.6279445,2.2514586,5.5329386,1.4564918,1.71167017,7.234744,3.9409884,1.2746011,1.1008009,2.0091983,0.7977826,1.2193958
TEMP,1.2131839,3.0545816,4.6667576,1.5962182,1.76441717,7.278297,4.5522454,1.3959708,1.1979314,1.9590013,0.8188165,1.2964533
TEMP,0.9383407,4.3307109,4.9280358,1.8807582,1.64650317,7.106472,6.3340784,1.1659928,1.2200888,1.9881803,0.8195967,1.2280103
TEMP,0.7673185,4.3711079,6.1893558,1.8870852,1.69608727,6.830791,7.1304019,1.2640942,1.1198697,1.9277206,0.8863347,1.3269362
TEMP,0.8097771,4.4466032,6.2298732,1.9249162,1.757932,6.443748,7.0800899,1.3757498,1.3491957,1.8288426,0.7865405,1.5431026
TEMP,0.8540801,4.4954973,7.0749062,2.1789033,1.8604134,5.04813484,6.6050099,1.2550573,2.4287458,1.7362506,0.6355765,1.3220466
TEMP,0.9672171,4.7276739,6.6551208,2.1678423,1.5482044,3.82642274,6.1250719,1.2217001,2.9480408,1.8546476,0.5894368,1.4379994
TEMP,1.1396144,4.5631481,6.6667338,2.1990914,1.4464804,2.78266674,6.8301419,1.1096676,3.8093978,2.1717036,0.5389978,1.2807744
TEMP,1.03413354,4.5992387,6.6877118,2.1796266,1.2322343,2.24174214,7.62436,0.8314972,4.8809374,1.922595,0.5295643,1.2609024
TEMP,1.01819084,4.7749467,5.0506359,1.7513293,1.3828435,2.20782044,7.118646,0.8929842,5.0580564,1.8493674,0.4623772,1.2579832
TEMP,1.02828554,3.9415857,3.7485389,1.6143223,1.4495735,1.68308944,6.497026,1.2348202,5.0446384,1.8930204,0.404943,1.4506108
TEMP,0.98824744,2.9391348,3.4257732,1.7320613,1.3394025,1.23900194,5.931428,1.2535702,5.1418654,2.0096994,0.4513364,1.5479698
TEMP,1.02957864,1.8778878,3.3718602,1.4378708,1.2000176,1.45030794,4.516822,1.3933702,5.2217549,2.0251784,0.4842587,1.7365902
TEMP,1.11051274,1.7895638,2.0732625,1.145657,1.2069269,1.79976094,4.045651,1.2839426,5.380581,2.1527058,0.4667161,1.8144322
TEMP,1.17971594,1.8615248,2.2788461,1.06746,1.1671243,3.50129494,3.9007662,1.2110146,5.23611,2.1306498,0.5437133,1.7329592
TEMP,1.24531994,1.9135935,1.2887861,0.7539248,1.0409949,4.8393381,4.1324002,1.2898251,4.167379,2.0976648,0.6881953,1.7205582
TEMP,1.30890294,1.9508575,1.6081185,0.6659857,0.9792486,5.4179652,4.1422902,1.3047892,3.781806,1.9875028,0.7095898,1.6836522
TEMP,1.23855994,1.9802154,1.6026279,0.6090541,0.9731274,5.6261522,4.0697712,1.4335467,2.7136327,1.6314591,0.8268126,1.6154294
TEMP,1.2446486,2.0554132,1.8264389,0.6320522,1.0310954,5.6454866,3.3474672,1.5461721,1.8021437,1.7512397,0.897912,1.6213374
TEMP,1.2149063,2.1448142,2.0696378,0.7172305,0.8446399,5.6033774,3.4009782,1.6533051,1.5768157,1.7170894,0.902205,1.8174982
TEMP,1.1636432,3.9002552,2.0226158,0.7335485,0.7195559,5.5604731,4.9172132,1.5083561,1.9602547,1.7019994,0.9362705,1.6724422
TEMP,1.2141431,5.0270861,2.0632975,0.4835928,1.5180799,5.6462736,4.8156918,1.7636461,1.7290081,1.5912994,1.1055889,1.7006462
TEMP,1.3419471,5.8704531,1.9514705,0.6811253,2.0142488,5.6465766,4.6071498,1.5699922,1.9767171,1.3942974,1.0407458,1.6112102
TEMP,1.3325799,5.9785051,2.0559762,0.8730301,2.2785059,5.2553096,4.4290088,1.6903928,1.79344025,1.4799724,1.2138951,1.5030446
TEMP,1.3039419,5.7982849,1.7989088,0.9354131,2.7132825,3.2821226,5.1093146,1.9275038,2.00896925,1.7863684,1.2399631,1.4905676
TEMP,1.3446189,5.7264612,1.54414561,1.0473543,2.7669009,2.0055331,4.5920596,2.0029488,2.16476225,1.7770224,1.1658429,1.4109496
TEMP,1.1115359,5.6071752,1.26441051,1.3603914,2.7554367,1.4160063,4.3605336,2.1105151,2.10129425,1.7722234,1.1961932,1.3660059
TEMP,1.0080333,5.5667448,1.48519531,1.4327156,2.8012726,1.1357623,4.6997746,2.5202831,2.70751955,1.7587613,1.0789957,1.4244997
TEMP,1.0980935,5.8504968,2.86517531,1.5286834,2.8641187,1.2643625,5.2923256,2.4680257,2.84459655,1.6832763,1.3276937,1.3865337
TEMP,1.172675,5.6857448,4.16948231,1.4965913,3.2252322,1.2982881,7.1756656,2.3801627,4.99612955,1.7444472,1.3570705,1.1918884
TEMP,1.1519846,3.8134049,4.62523431,1.4924333,3.2232272,1.2946284,6.0183116,2.6302677,6.01499355,1.6717922,1.2743494,1.4588354
TEMP,1.1008085,2.6469493,5.09469931,1.5039038,2.5309662,1.4242634,6.58277,2.4353987,6.39524215,1.6038257,1.1003997,1.2225446
TEMP,0.9334453,1.7307403,5.25865131,1.3973978,2.1621182,1.2223074,7.168528,2.5323936,6.40991915,1.5142003,1.1182563,1.2954486
TEMP,1.0323826,1.4289303,5.40625131,1.6490028,1.9219002,1.1191041,7.155072,2.4010083,6.479112,1.4370703,0.9124944,1.6122592
TEMP,1.0253086,1.4148954,5.48994971,1.9819058,1.525949,1.2842861,7.119534,2.4185643,6.1288639,1.0955297,0.7863142,1.9336452
TEMP,0.8390127,1.4635141,5.5131057,1.9690198,1.82138,1.2918023,6.8893544,2.5261743,6.002876,1.1151807,0.8081032,2.0003755
TEMP,0.8629877,1.4853841,5.4678101,1.7676428,2.0574965,1.4151511,7.2081984,2.6453873,5.904163,1.2858937,0.8124394,1.9812915
TEMP,0.9537703,1.4932946,5.2665692,1.8607987,1.99136763,1.2855363,6.7806174,2.2022073,5.559032,1.5786845,0.8052469,2.0904295
TEMP,0.9415694,1.8319756,3.6657782,1.7729188,2.06144563,1.2803163,6.8153544,2.2691687,5.545822,1.5710865,0.4928116,2.1025655
TEMP,0.891709,2.7630686,2.3270532,1.7778403,1.89010963,1.3401096,6.6343244,2.1903327,3.4151701,1.6036245,0.467864,2.3795148
TEMP,1.0495057,3.5954335,2.0136962,1.8895923,2.00026163,1.3616242,6.3765554,1.9543967,2.0285861,1.8545255,0.6028528,2.4859828
TEMP,1.0933935,3.8659481,1.5821352,2.0913955,1.97601063,1.1625989,6.0772904,1.8449767,1.8129091,2.102018,0.7571985,2.7637306
TEMP,1.1482311,3.7254889,1.2986031,2.0855698,1.98161263,1.1225759,5.3689744,2.0814097,1.4314552,2.0811023,1.0532129,2.8545956
TEMP,1.1331561,3.6874549,1.0522836,1.6498088,2.21519463,1.3693612,5.4298444,2.38474,1.5632922,2.1743743,1.0746637,2.5395151
TEMP,1.1176373,3.908158,1.3209066,1.2981888,2.38446683,1.6718722,5.8967994,2.741667,1.6817073,2.3557669,1.2427949,2.1535769
TEMP,1.1844242,3.79466792,1.7440468,1.2337137,2.04957443,2.2131055,6.93908,2.924191,1.6626878,2.2981191,1.4073491,2.1757866
TEMP,1.0726202,3.57824792,1.8255375,1.1860116,2.06241343,2.3974945,7.317207,2.931216,1.585475,1.9955429,1.3871646,2.1889384
TEMP,1.0143083,3.76963872,1.9593204,1.1918286,2.7720166,2.6004743,7.016508,3.241225,1.442993,1.701938,1.4059628,2.0092784
TEMP,1.2025552,3.21724272,1.9313334,1.3786455,3.9580926,2.6733723,7.328017,3.197978,1.23543,1.6376406,1.4841881,1.9860054
TEMP,1.4891506,2.16578472,2.0821324,1.3107873,4.4775196,2.9688063,6.127372,3.431517,1.3019749,1.5457652,1.543913,1.9193594
TEMP,1.6190556,1.41974872,2.0366224,1.2215453,4.3843986,3.0754067,8.711865,3.735375,1.2663295,1.3105872,1.662418,1.4725524
TEMP,1.7701387,1.28674772,1.9419483,1.0823583,4.2052143,3.232472,8.77359,3.77482,1.1888875,1.2282452,1.66401,1.24204
TEMP,1.9173663,1.66415692,2.0244334,1.099289,4.0820367,3.29519,8.98671,3.600481,1.4300454,1.5406933,1.400387,1.0458567
TEMP,1.8194709,1.62774492,2.0212255,1.267708,3.759125,3.268893,8.927849,3.642275,1.5938244,1.7339943,1.3927811,1.0958692
TEMP,1.8675557,1.71448392,1.7279816,1.179196,3.5724331,3.169931,7.936243,2.9910702,1.5439034,1.4789199,1.2685842,1.2797624
TEMP,1.8617597,2.044895,1.3713746,1.2307631,3.6175905,2.724829,7.765354,2.8231942,1.7835298,1.4237571,1.1389982,1.3727634
TEMP,2.0811797,2.265196,1.4718456,1.2722482,3.3691792,2.4326021,7.413132,2.7777062,1.7264628,1.3766481,1.1166968,1.4720833
TEMP,2.3024726,2.203736,1.3541609,1.1710844,2.7077682,2.1800215,8.70242,2.396523,1.7612418,1.502234,1.1112166,1.4828073
TEMP,2.0934818,2.56803,1.3727969,0.93582452,1.5183022,2.0330245,9.00185,2.795862,1.7408108,1.6258314,1.1036826,1.3716703
TEMP,1.7518481,3.926118,1.1304949,0.96854302,0.8528011,1.7971455,8.762826,3.004151,1.7914118,1.6284542,1.1111526,1.0880283
TEMP,1.5137335,4.517333,1.2342469,0.84639132,0.8275501,1.7116125,6.863365,2.5565982,1.8212642,1.7250822,0.9678716,1.0639522
TEMP,1.4470445,4.696177,1.411903,1.15382232,1.0421464,1.5550944,6.5239057,3.0264642,1.7630352,1.9401082,0.7727497,1.0662833
TEMP,1.4421285,4.442356,1.778647,1.32539332,1.0244571,1.4300483,7.0302047,2.7966692,1.9187852,1.8007002,0.7592014,0.98815599
TEMP,1.7325329,4.446954,2.2251504,1.15292092,1.2634388,1.2515046,7.0215737,2.8034402,1.5717605,1.5308722,0.7461081,0.87450219
TEMP,2.0432869,4.271868,2.4478523,1.28849592,1.7987507,1.2290966,6.9019727,2.7302289,1.5168464,1.7039146,0.7627164,0.88227219
TEMP,2.3866689,3.9719397,2.6887663,1.22749482,2.3578087,1.2794846,6.7028727,2.5624059,1.3750234,1.7316529,0.7070814,1.12334819
TEMP,2.5492309,3.7805654,2.6405363,1.23641982,5.165617,1.3207825,7.2150517,2.5980119,1.5522882,1.8340451,0.7450441,1.13374719
TEMP,2.4547249,3.7064985,2.737574,1.22942942,6.603454,1.389388,6.7979217,2.7849711,1.4671529,2.0292911,0.8149281,1.14756939
TEMP,2.5601067,3.1735221,2.760138,1.2658294,7.077036,1.451874,6.3968927,2.348209,1.4531521,2.1471331,0.7378397,1.40465139
