Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,557.202,15.187,29.6876,28.992,35.1017,2.00991,6.39236,2.82514,3.2119,2.97855,10.9108,565.129
3,561.75645,23.05141,41.1047,30.88868,43.80345,10.46583,7.90192,4.1642,20.1499,8.62869,13.95959,596.4203
4,585.65515,32.41205,41.867344,32.18802,62.15725,15.40147,22.46042,8.11469,32.0234,11.37565,16.44555,611.6329
5,626.88935,51.83705,49.453144,36.61273,70.29068,18.25671,36.36002,12.69959,36.67427,27.81555,18.80786,647.0706
6,1173.74035,69.52375,55.287994,45.19552,92.48548,22.0559,39.68226,16.93151,55.77717,41.10795,20.55829,1255.4356
7,1185.30055,78.90238,59.210494,54.20365,97.70635,22.706016,48.19958,23.24485,64.30655,46.46259,44.29549,1266.4492
8,1187.03413,90.52348,63.422754,61.08695,99.31225,25.171316,50.67891,26.92495,72.84398,56.59519,56.92619,1276.6683
9,1193.68501,91.71427,79.060154,78.14125,118.93075,28.619246,60.60617,27.94532,77.71817,59.18318,69.20309,1278.47889
10,1199.22664,120.15727,87.390334,86.15731,136.11725,32.655406,76.67677,30.11978,78.7599,64.85696,76.58779,1281.77566
11,1213.90284,143.98057,88.736454,90.86303,138.88482,34.588866,84.03993,33.85649,79.488591,69.99434,83.36933,1286.28826
12,1235.89014,152.56145,95.143444,101.68243,141.39168,42.686376,88.17248,35.67019,84.768661,71.25893,87.6998,1287.073227
13,1252.19614,153.420066,100.294634,109.97146,146.1734,49.779696,96.48761,38.3075,91.440141,77.44042,93.59717,1289.718467
14,1254.95795,160.655766,109.002684,134.16476,150.95512,56.322616,98.70342,46.49119,94.055531,82.5836,101.56516,1293.702567
15,1260.26487,171.228166,112.219014,150.96396,156.42172,57.240946,133.87292,47.99258,101.177371,84.28302,104.09264,1303.868167
16,1263.33896,182.193166,118.478904,161.15146,172.57712,73.366046,191.73542,54.08598,102.09323,89.32366,109.40447,1309.243037
17,1267.92771,198.088366,122.291664,177.47266,176.07047,79.313536,242.78612,65.54968,108.62328,92.49159,114.84988,1314.187987
18,1272.28168,203.664406,130.838044,179.60761,180.88569,82.255656,304.73662,70.36073,119.05078,94.5076,118.16803,1323.244387
19,1276.50631,209.390566,143.272044,187.88625,187.55804,85.840136,309.38623,73.96907,120.73967,101.38461,123.47431,1330.649267
20,1280.24339,214.330586,145.184214,202.13715,189.57896,91.884016,331.67823,80.67456,124.94814,106.4176,131.90624,1346.846767
21,1283.94997,224.612286,148.504244,204.75905,191.35825,99.764786,345.32843,84.52693,125.196626,111.97489,145.18734,1373.774267
22,1290.14018,225.662296,151.010314,204.95931,212.52035,107.213676,350.24619,94.13345,126.604046,123.26869,172.49074,1380.205917
23,1300.12165,230.108836,164.539814,218.28861,231.80525,109.813156,354.16366,96.78342,131.977736,135.04719,186.65864,1383.837517
24,1302.65924,234.655436,169.492334,223.24419,234.73325,110.404697,357.7731,107.51522,133.984726,143.04435,199.02024,1393.928617
25,1309.08459,241.762176,191.136534,229.31186,236.60239,115.258877,358.62883,112.96124,140.108546,152.91494,208.88249,1394.950207
26,1313.82145,245.976326,201.658834,234.31697,244.35242,116.546587,360.99427,116.28763,144.945706,156.50311,213.25985,1402.962397
27,1315.50496,247.315386,211.709934,237.99551,253.01778,118.899117,363.91626,122.41134,147.893376,157.98882,219.22059,1405.165897
28,1325.53326,254.185476,231.974034,250.11911,258.21256,127.407497,369.91776,126.87371,156.950756,160.5565,225.67581,1411.438787
