Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
44,12.9489138,1.27878271,1.04467988,5.35003528,1.46308096,24.03196475,1.21071951,1.2256066,0.92009685,0.85917666,1.01732618,24.838725
45,13.1518288,1.30742001,1.05302436,6.35839528,1.52766606,24.20857375,1.26269751,1.22713041,0.95658265,0.87377006,1.04595298,25.106917
46,13.8893738,1.32391781,1.07039966,7.25345328,1.54731426,24.49181275,1.27347931,1.24441681,0.96542136,0.87891242,1.06689898,25.246086
47,14.0221648,1.35896061,1.08840666,8.22767228,1.58992616,24.59954975,1.30651631,1.25245589,0.98028666,0.89149992,1.07522398,25.486385
48,14.4613918,1.39400341,1.10663066,9.85846228,1.60476216,24.63447325,1.32461621,1.29513129,0.99515196,0.90762482,1.09708058,25.725176
49,14.6829318,1.45405181,1.13447666,11.31920228,1.65191656,24.72797915,1.37805751,1.32666719,0.99759057,0.92374972,1.10729068,25.859543
50,14.8243308,1.47430011,1.16949476,13.06488228,1.71056426,24.91066615,1.43649531,1.33524248,1.00838297,0.92618404,1.11750078,25.962984
51,15.1340788,1.49730571,1.16949476,14.82340228,1.74165236,25.22602715,1.45922131,1.3377838,1.02858447,0.92861836,1.14374238,26.256291
52,15.3569388,1.53169781,1.17606216,16.20799228,1.78462806,25.66297915,1.47169441,1.34444567,1.04796537,0.93948076,1.15482248,26.3405557
53,15.7167888,1.55994241,1.1841888,17.99016228,1.81967456,26.39323915,1.49168571,1.35379494,1.05213399,0.94220077,1.18274768,26.4604837
54,15.9053848,1.57980871,1.1942571,19.56314228,1.87290686,26.55716015,1.50607131,1.36912684,1.09667009,0.95172003,1.21768748,26.6660557
55,15.9721621,1.58653904,1.2202428,20.92891228,1.88258796,27.92739015,1.5114856,1.39702514,1.10580302,0.96887173,1.25899408,26.8257767
