"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"44",9.3208563,3.32202162,1.35421288,9.0349254,4.8264253,1.38116405,3.96097348,7.0287075,5.4323635,3.447120865,2.98086789,5.1679265
"45",9.3809006,3.33569002,1.39103818,9.0789641,4.8656257,1.47038875,4.09522048,7.0454691,5.501822,3.469621365,3.00453139,5.221789
"46",9.38932295,3.36735132,1.39636093,9.0896955,5.0084047,1.51536375,4.16718558,7.059073,5.5781717,3.496264465,3.10049269,5.2463794
"47",9.43159655,3.41313732,1.43261223,9.116802,5.1489517,1.51963335,4.26048008,7.0911626,5.5931167,3.542318365,3.11367539,5.4179104
"48",9.51639145,3.42685512,1.45151623,9.224891,5.2164669,1.58951555,4.54346108,7.1259385,5.6322145,3.588465465,3.11993,5.5133428
"49",9.52975815,3.43977112,1.46313993,9.304077,5.2494294,1.64082285,4.60204598,7.1422583,5.6608866,3.602992665,3.1513732,5.9086828
"50",9.54462835,3.45734602,1.47214602,9.3250316,5.4616574,1.66681205,4.81971498,7.2055983,5.6931068,3.656910865,3.1754329,6.3292898
"51",9.56235075,3.59068402,1.48914072,9.33406807,5.6124554,1.73540555,5.08067598,7.21454757,5.9216778,3.728692065,3.1860636,6.3580165
"52",9.64091515,3.71685502,1.50209522,9.44362207,5.6428637,1.74891635,5.14753488,7.24674367,6.0883938,3.767784865,3.23828,6.4353602
"53",9.71966935,3.75927382,1.51338842,9.50141267,5.7690967,1.77812635,5.40820388,7.26044637,6.1213241,3.794774665,3.2848638,6.4995786
"54",9.73898945,3.78041432,1.54112902,9.61910967,5.8479658,1.83980865,5.52623188,7.27328847,6.1375874,3.864193765,3.28892312,6.6090956
"55",9.78557265,3.79509202,1.55498882,9.62808519,5.9389114,1.88800435,5.61521998,7.29388487,6.184539,3.924828065,3.29706496,6.7147476
"56",9.81124565,3.80610102,1.56434684,9.65271339,6.0647164,1.88942674,5.81470198,7.37984897,6.2628881,3.932649815,3.33634246,6.7527026
"57",9.85242975,3.84518572,1.64122924,9.65761829,6.1128368,1.89295043,5.82918618,7.39566347,6.350009,4.004570815,3.41499936,6.8431047
"58",9.93387775,3.85888602,1.71852484,9.69877789,6.2227218,1.90292872,5.86329338,7.48547887,6.3835266,4.041775515,3.49305126,6.8985933
"59",9.94557895,3.88360172,1.72159744,9.76873019,6.3441688,1.92457472,5.92839868,7.48918619,6.4326864,4.087166015,3.56114776,6.9957278
"60",9.98589645,3.94121592,1.77800244,9.82222929,6.4623218,1.95228272,5.99028978,7.59017619,6.5318108,4.198557015,3.65796896,7.1492048
"61",10.00871925,3.97958692,1.88113644,9.86729829,6.6391828,1.98684382,6.06296248,7.65328029,6.8576018,4.376340015,3.70367766,7.1492048
"62",10.00999776,4.09036692,1.92608354,9.90286039,6.7649228,2.03621672,6.07821208,7.73648639,7.1009448,4.577859015,3.73447496,7.2029019
"63",10.03107616,4.10642912,1.94217614,9.96111769,6.8911798,2.08331902,6.13625748,7.82719319,7.2594688,4.701499015,3.74924756,7.2029019
"64",10.05245516,4.15216792,1.97516714,9.96468482,7.0653418,2.10181622,6.16081458,7.90387749,7.6562238,4.911745015,3.77371116,7.2995236
"65",10.07418016,4.24021602,1.98850374,9.97111436,7.2640418,2.14537832,6.18838418,7.94319329,7.9369618,5.323812015,3.81022016,7.3371077
"66",10.16659636,4.28140492,2.00559484,9.99104306,7.294857,2.16250462,6.19827733,7.96424489,8.0291135,5.481699015,3.87347216,7.4176361
"67",10.20781156,4.30556262,2.05699554,10.08209186,7.466041,2.16907445,6.20008911,7.98089139,8.3380755,5.672375015,3.88470766,7.4176361
"68",10.23141056,4.33185452,2.12115034,10.17421276,7.613713,2.22410355,6.24719611,8.02022999,8.6073185,5.868215015,3.89838736,7.5699021
"69",10.26401936,4.38443092,2.14462644,10.55867476,7.6753851,2.26653795,6.27788661,8.08112899,8.6578765,6.009078015,4.00948736,7.7221681
"70",10.34988336,4.41658842,2.19156224,10.89538476,7.7172404,2.27846525,6.35870961,8.11401569,9.0265225,6.192098015,4.02049796,7.7508948
"71",10.41323696,4.49639492,2.21731694,10.93446116,7.72334883,2.28602094,6.40647161,8.16023719,9.2843235,6.409231015,4.06857886,7.8582478
"72",10.41681384,4.51240062,2.26024194,11.13340316,7.75995093,2.33503154,6.42648281,8.17840309,9.4481165,6.565224015,4.08160126,7.9370094
"73",10.42743774,4.54332202,2.28736664,11.38458816,7.77767483,2.34395365,6.54176181,8.19926369,9.5982075,6.805997015,4.08633774,9.0234494
"74",10.47552374,4.64075102,2.33466764,11.62086316,7.80499023,2.35631905,6.56293721,8.22435359,9.8686205,7.068556015,4.12020764,9.2381554
"75",10.52319314,4.76248702,2.36927164,11.79453116,7.85501763,2.41177755,6.58396981,8.25099419,10.1470915,7.212711015,4.21821114,9.3455084
"76",10.56581294,4.81159962,2.37591273,12.23552716,7.87288473,2.42343235,6.64571251,8.28807719,10.1787618,7.269653515,4.30182264,9.3455084
"77",10.57182992,4.85182502,2.43305393,12.58957816,7.92981843,2.47808735,6.79341051,8.31166799,10.2659301,7.431687515,4.33482904,9.6138904
"78",10.57433136,4.91455822,2.44610433,12.73025116,7.93269828,2.50308675,6.87621431,8.34209739,10.4701761,7.547816515,4.35454774,9.9359494
"79",10.57796283,4.97931562,2.47570603,13.16825016,7.96403628,2.55465775,7.02871231,8.35601579,10.5673362,7.630328315,4.42248974,11.0279594
"80",10.60105423,5.03777092,2.52829903,13.48633316,8.01390378,2.56718755,7.03616006,8.47020979,10.6812472,7.656764515,4.45047684,11.0279594
"81",10.63328363,5.09691842,2.58312383,13.59742116,8.04473368,2.5764587,7.04723886,8.53160169,10.7425383,7.701364215,4.53840174,12.2272694
"82",10.68218753,5.11316302,2.60548253,13.94324016,8.07466878,2.5881719,7.11971076,8.58445039,10.7865358,7.738313815,4.63683274,13.4265794
"83",10.75566853,5.12944102,2.61875873,14.36859316,8.09347078,2.6123205,7.24308376,8.62845279,10.8625117,7.808219615,4.68867064,14.4649394
