Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.085978,0.0305751,0.0165577,0.0557332,0.102286,0.135263,0.016407,0.02511,0.0403362,0.0345427,0.012982,0.266141
3,0.09214165,0.0508571,0.0619116,0.1845412,0.181996,0.24952,0.0309379,0.0548375,0.0671252,0.076269,0.0378001,0.553951
4,0.10673895,0.0928193,0.0895854,0.2580016,0.2108527,0.484611,0.0837933,0.1212802,0.1778042,0.1426896,0.1440991,0.743919
5,0.11419765,0.0975719,0.157109,0.26318996,0.2533478,0.5409105,0.1010352,0.1817199,0.1892575,0.169,0.1964853,0.863861
6,0.16102495,0.10089819,0.2054663,0.39390596,0.3098908,0.5511962,0.1288193,0.2072744,0.2648142,0.2411247,0.2448043,0.975852
7,0.30141895,0.19721209,0.2291166,0.44884746,0.3347438,0.8498282,0.140346,0.2517794,0.4177922,0.2995998,0.3029776,0.9951676
8,0.39709005,0.28622719,0.2497519,0.50594336,0.4359738,0.9171372,0.1781663,0.3081367,0.4329503,0.3171257,0.3744712,1.0665911
9,0.49586015,0.39532819,0.25570474,0.59611356,0.5095072,1.0623862,0.18681125,0.3346414,0.462766,0.3525301,0.3882262,1.1980251
10,0.52189865,0.50484619,0.34081234,0.63456776,0.5745393,1.1149566,0.19483706,0.4279136,0.4836432,0.36034953,0.4477257,1.2987041
11,0.61069095,0.53196419,0.36102254,0.72081816,0.6352023,1.1280425,0.27570516,0.4545569,0.5455646,0.36967121,0.5039468,1.38554
12,0.69740835,0.57557869,0.48183754,0.78593576,0.6836456,1.1723175,0.29491746,0.46021982,0.6168531,0.41716681,0.5597258,1.4486219
13,0.72777825,0.69339569,0.50732374,0.95463776,0.7250221,1.2531517,0.31639836,0.50739742,0.6623737,0.42627315,0.56155041,1.491424
14,0.73151701,0.77721519,0.63311174,1.06236876,0.753005,1.26083527,0.38646536,0.54544042,0.7053482,0.44638165,0.64967701,1.5187537
15,0.83069341,0.86743849,0.64946424,1.11250286,0.866882,1.42415227,0.43975646,0.56608102,0.7312379,0.46587485,0.66091461,1.6933017
