Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0274504,0.0210901,0.147672,0.0565703,0.0444027,0.378995,2.4688,0.0105305,0.163192,0.0804805,0.0343511,0.0087966
3,0.0488179,0.0590656,0.279493,0.1506803,0.1109996,0.53933,2.807286,0.2303885,0.2338067,0.1498852,0.0642806,0.0257439
4,0.1147593,0.1058697,0.3168267,0.1751241,0.1943189,0.687226,2.910147,0.2408147,0.2461262,0.2317009,0.0794734,0.0407421
5,0.1778966,0.1225932,0.3312463,0.2038818,0.2155033,0.95247,2.921184,0.3089207,0.2735294,0.3355799,0.0898073,0.0591294
6,0.2126507,0.2062561,0.7677353,0.2407035,0.2931417,0.9766418,3.488197,0.3458594,0.3449491,0.3964868,0.1267088,0.0858584
7,0.2447621,0.2388007,1.2373873,0.3043283,0.3727889,0.98353648,3.621619,0.3667498,0.3592986,0.4896139,0.2194886,0.1544435
8,0.24782506,0.2895108,1.3527313,0.31345645,0.4811429,1.20850648,3.995346,0.4148576,0.3919399,0.49709679,0.3194872,0.2411697
9,0.28473226,0.3840987,1.5105743,0.33260565,0.4934885,1.37931748,4.264179,0.4953414,0.4345972,0.53416149,0.3515034,0.3425387
10,0.33181676,0.8740017,1.5610112,0.33560642,0.5888578,1.66351148,4.426991,0.5641227,0.5190642,0.56372029,0.3951358,0.4061472
11,0.38231796,1.1590307,1.6042131,0.37799702,0.6450077,1.79796948,4.607883,0.6542668,0.5480547,0.63304069,0.4797136,0.4379388
12,0.39023075,1.3794297,1.6233738,0.44600762,0.6675416,1.82327498,4.683147,0.7444109,0.6144551,0.77374369,0.5112778,0.4509375
13,0.42858985,1.464721,1.7348028,0.45447065,0.9357416,1.96767498,4.983291,0.75261355,0.7081157,0.82129309,0.5818354,0.4712726
14,0.52849855,1.5551416,1.74078858,0.52787875,1.6556446,1.99097868,5.628595,0.77479115,0.7772207,0.86371889,0.6338571,0.4816248
15,0.58813165,1.5708911,1.81767388,0.61630905,2.1799906,2.03875288,5.948185,0.78437519,0.78309516,0.88220539,0.6771093,0.5110715
16,0.79494365,1.7016191,1.82033058,0.70042925,2.5420086,2.09008878,6.192439,0.86376579,0.85680306,0.91672419,0.6918703,0.5267315
17,1.24961265,1.7262209,2.28681558,0.75497865,2.7449696,2.16069478,6.549228,0.87439809,0.89486596,0.97007549,0.69914153,0.6047944
18,1.41599065,1.8186904,2.70403558,0.76172212,2.8012275,2.30731178,6.5862163,0.88046912,0.91199386,1.02197169,0.70641276,0.6210788
19,1.51470005,1.82010535,2.72635868,0.76910069,2.9027235,2.41545778,6.6203553,0.99876412,0.92787506,1.12553369,0.71680316,0.6504721
20,1.57763145,1.93536935,2.74978498,0.87463069,2.9163934,2.56336078,6.6428742,1.01712762,0.97116166,1.15569269,0.72326459,0.6591009
21,1.58661965,1.96868655,2.76435118,0.91319899,2.91864703,2.79559478,6.724976,1.05037962,1.01100416,1.23745439,0.77035309,0.66332091
22,1.61839445,1.98274805,2.90045318,0.93902919,2.94544013,3.26339578,7.074844,1.09798332,1.02216506,1.31880759,0.82072359,0.77566191
23,1.67657345,2.01039595,3.04862418,0.97818209,3.09405813,3.69749978,7.308931,1.12080222,1.08870406,1.38167969,0.84164009,0.78327711
24,1.69341815,2.07671745,3.05659624,0.99250959,3.13997613,4.13411478,7.308931,1.16315662,1.16759556,1.41962899,0.87172359,0.87690091
25,1.73062805,2.08018005,3.09223814,1.00570349,3.21706103,4.32921078,7.3313626,1.26285192,1.18207656,1.53214499,0.88526149,0.95313261
26,1.76282245,2.13069305,3.64338514,1.15946949,3.23993173,4.36385748,7.6045446,1.29968132,1.22110006,1.58947969,0.92452689,0.98350611
27,1.79279315,2.47744305,4.13293814,1.24095189,3.31608603,4.57464048,7.8641766,1.29968132,1.26215876,1.64046419,0.96532959,1.01165851
28,1.82078165,2.83788305,4.26114714,1.29431659,3.38994313,4.73578948,8.1051166,1.34624852,1.31169526,1.67561149,0.97961899,1.05365391
29,1.82778677,3.26509205,4.37064814,1.39663459,3.45209603,4.78660378,8.7337836,1.38780912,1.33496956,1.78890949,0.99026969,1.06021054
30,1.83365477,3.39383505,4.81492814,1.50427559,3.48231013,4.84252288,9.0220036,1.43890532,1.34481717,1.79889545,1.01899889,1.10184714
31,1.85680967,3.45234205,4.84301344,1.55546619,3.50519883,4.94561588,9.0873182,1.50941242,1.46117717,1.84766565,1.03278999,1.17819304
32,1.90336657,3.48271755,5.26106844,1.66604119,3.56618593,4.94775692,9.2786722,1.51674578,1.83254117,1.89812465,1.03278999,1.21677614
33,1.99929497,3.58783355,5.26917392,1.70150369,3.61063193,4.97422552,9.3526232,1.52843478,2.07234817,2.00050165,1.03831152,1.26308014
34,2.07366187,3.59925945,5.28102082,1.72625779,3.62260863,5.06258022,9.5878772,1.53340848,2.43864017,2.14423965,1.05156552,1.30424414
35,2.07567722,3.61476405,5.32366212,1.73295704,3.62820809,5.07719102,9.8753082,1.54028942,2.81065317,2.17363855,1.06195592,1.37384544
36,2.10255212,3.72390305,5.32858164,1.74381694,3.70133099,5.10051932,9.9797532,1.59763462,2.90877407,2.20654025,1.07880372,1.40324494
37,2.13589102,3.79259325,5.38367674,1.77958554,3.79975029,5.13622062,10.0319758,1.71169162,2.94535567,2.27208995,1.10044282,1.49566934
38,2.15052042,3.81855505,5.40419124,1.87223494,3.83684799,5.14919522,10.0841984,1.76451512,3.02733287,2.34616855,1.13021182,1.57014974
39,2.17131612,3.89166755,5.49570374,1.87639351,3.85249369,5.27051422,10.2408664,1.85272142,3.07726307,2.46463055,1.15184742,1.63964144
40,2.20418862,3.99094045,5.50669194,1.88653481,3.88501319,5.44303122,10.3718754,1.86730582,3.14010447,2.51716745,1.17472342,1.70725064
41,2.25043382,4.07345785,5.60337224,1.91163441,3.8946214,6.11385822,10.3888478,1.91347972,3.20825987,2.55857845,1.21420532,1.75641254
42,2.31888002,4.12120665,5.69108484,1.91759585,3.9135241,6.56245022,10.6574888,1.94710902,3.22303067,2.59803165,1.26241332,1.79085784
43,2.43602302,4.23875565,5.80573884,1.92371648,3.937368,6.78198322,10.7347396,1.96379092,3.33418767,2.66365155,1.27507332,1.82484774
44,2.48691912,4.25997715,5.81575374,1.92947476,3.94730233,6.93980122,10.9457966,2.01172582,3.3440729,2.68859205,1.32743982,1.84324854
45,2.490966,4.30057235,5.93307174,1.94384756,3.97224343,6.96086312,10.9922232,2.05618542,3.4119564,2.75795695,1.36155312,1.91482094
46,2.5079171,4.43954135,6.01913704,1.98312796,3.98315363,6.97014123,11.1145232,2.14927662,3.4348945,2.77946405,1.37983332,2.00967144
47,2.5241516,5.09395035,6.05854254,2.02434126,4.03983743,6.99152703,11.6726512,2.21497012,3.5994145,2.83997895,1.41283872,2.05369674
48,2.5556308,5.49589135,6.09263084,2.03359043,4.34337043,7.03312983,11.6910004,2.35297412,3.60423402,2.87712135,1.49910252,2.13758774
49,2.6190694,5.85040135,6.14683114,2.10365773,4.52456743,7.15454983,11.7780865,2.37656592,3.73681502,2.92985205,1.49910252,2.17723824
50,2.6488164,5.98572635,6.19268874,2.17783003,4.64525943,7.19651743,11.8496574,2.43132322,3.73850439,3.01097505,1.57975142,2.20875694
51,2.6855064,6.00811155,6.20359594,2.22374443,4.79993543,7.20897063,12.0936204,2.55661122,3.87857339,3.15461805,1.62793142,2.25375554
52,2.767525,6.03189565,6.2063042,2.26705623,4.83672843,7.23161633,12.1896741,2.61541362,3.94532619,3.19095285,1.65140832,2.26163558
53,2.8068978,6.10964415,6.2276217,2.37762523,4.85674713,7.25444813,12.1896741,2.66798592,4.03530639,3.25497145,1.67419502,2.28062958
54,2.8232593,6.11737563,6.3113035,2.40751523,4.88197503,7.31876023,12.5139221,2.85264392,4.24746439,3.27542025,1.68745752,2.31854748
55,2.8573555,6.25264763,6.8890665,2.45390853,4.92788543,7.38273083,12.7580591,2.87966722,4.36108439,3.31959875,1.80455152,2.37745218
56,2.8991916,6.33664533,7.4103275,2.48248113,5.05928443,7.40332853,13.5087551,2.94344192,5.10190239,3.36151605,1.83263352,2.40735738
57,2.9085225,6.36633113,7.6017995,2.52230703,5.11529913,7.42349323,13.6807221,3.09258492,5.60637639,3.39778895,1.83803822,2.54045238
58,2.9229263,6.37907173,7.7925295,2.53538343,5.18785263,7.50834993,13.8874081,3.16556832,5.73806939,3.41225365,1.86626192,2.54550239
59,2.93052269,6.42787973,7.9014345,2.56991393,5.24598023,7.56238523,14.1699381,3.22152352,5.87554739,3.43507985,1.87221996,2.60947799
60,2.99328099,6.46250343,7.9965404,2.72803693,5.28652063,7.56991783,14.2370191,3.23244282,5.90032369,3.49046755,1.88421436,2.74670399
61,3.02761069,6.48020573,8.0353743,2.88502793,5.30908333,7.63748573,14.4691241,3.36358882,5.92352869,3.52015205,1.8902929,2.89893599
62,3.04746979,6.52021193,8.0458088,2.92404003,5.44444933,7.66263923,14.4883761,3.45829612,5.94824429,3.56304385,1.9210399,2.92908129
