Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
44,39.3441871,7.2019435,2.91671838,5.2815,4.78556977,5.49981587,4.24882225,5.0665182,2.03761318,4.12339386,3.55222658,4.42519196
45,39.3441871,7.3104705,3.10179238,5.2815,4.82592757,5.59089867,4.29373235,5.1265168,2.12517418,4.17818756,3.56926068,4.44552646
46,39.3441871,7.4474025,3.10923759,5.2815,4.84710687,5.66834577,4.31415625,5.3313928,2.16357248,4.24013226,3.57179015,4.45387888
47,39.3441871,7.5621585,3.25405559,5.2815,4.86821287,5.75861967,4.36796745,5.4994188,2.21888828,4.28526556,3.5803139,4.47784498
48,39.3441871,7.6472708,3.26859849,5.2815,4.89313147,5.82928627,4.40244235,5.5930182,2.30254798,4.32096106,3.5911682,4.55328548
49,39.3441871,7.6729474,3.31894079,5.2815,4.96371197,5.87651857,4.43319575,5.7196412,2.35324658,4.35882926,3.618251,4.57528768
50,39.3441871,7.6885672,3.44019879,5.2815,5.02871707,5.99213557,4.52755295,5.8677332,2.40817078,4.42413646,3.6417767,4.67095238
51,39.3441871,7.8151122,3.53122669,5.2815,5.16707207,6.01812777,4.60595945,5.8940969,2.45169968,4.45613236,3.6652308,4.76710348
52,39.3441871,7.9525192,3.59796799,5.2815,5.19365977,6.03620037,4.65736185,6.0389549,2.47176758,4.77961836,3.689626,4.81394638
53,39.3441871,8.0899262,3.65516019,5.2815,5.27531937,6.09839967,4.74439655,6.1139563,2.48538078,5.02908736,3.7061666,4.90707238
54,39.3441871,8.1753997,3.66225692,5.2815,5.34460917,6.19437407,4.76529545,6.2253133,2.50234198,5.38485236,3.7301746,4.96764948
55,39.3441871,8.2001048,3.69938702,5.2815,5.36947797,6.21857447,4.92497345,6.3471203,2.51623718,5.74776736,3.7448425,5.04414698
56,39.3441871,8.2172066,3.72026832,5.2815,5.44060467,6.23772957,5.05769845,6.3909597,2.59324168,5.80060756,3.75334271,5.09577238
57,39.3441871,8.2445502,3.73202332,5.2815,5.47937087,6.30234257,5.12366165,6.5698497,2.64668568,5.88736666,3.77169751,5.14201608
58,39.3441871,8.3120123,3.75959902,5.2815,5.49362657,6.38111527,5.15529555,6.616523,2.66090968,5.93266556,3.77614385,5.17479238
59,39.3441871,8.4652793,3.80560602,5.2815,5.66104457,6.42514457,5.21158625,6.809181,2.68116838,5.98445856,3.79226525,5.24760748
60,39.3441871,8.5968263,3.80694419,5.2815,5.71887557,6.44264637,5.24427645,6.865386,2.78816638,6.02554476,3.80419435,5.26400188
61,39.3441871,8.5968263,3.82724809,5.2815,5.84227857,6.48013617,5.43765045,7.390687,2.81878718,6.18105576,3.8115848,5.45653588
62,39.3441871,8.5968263,3.90256109,5.2815,5.87514057,6.4899279,5.60702345,7.614127,2.85393578,6.19378216,3.8503286,5.98423988
63,39.3441871,8.5968263,3.94189069,5.2815,5.88600527,6.5090603,5.65786465,7.7121002,2.87688498,6.19964262,3.8946845,6.50045188
64,39.3441871,8.5968263,3.98533549,5.2815,6.05949327,6.5330161,5.69611315,7.7343357,2.90407908,6.20199809,3.9170211,6.62993588
65,39.3441871,8.5968263,3.99516019,5.2815,6.10615157,6.8303081,5.85894115,7.8567727,2.93112468,6.22531729,4.0006122,6.66113258
66,39.3441871,8.5968263,4.03629779,5.2815,6.26503257,6.9742621,5.89521185,8.0479087,2.93629965,6.35445029,4.0933321,6.74415468
67,39.3441871,8.5968263,4.07014449,5.2815,6.27970367,7.1019121,6.01556885,8.1224367,2.98390855,6.44851069,4.1111663,6.77461178
68,39.3441871,8.5968263,4.12033349,5.2815,6.31919997,7.2456101,6.09719175,8.2727117,3.12368455,6.50408379,4.1220144,6.78797018
69,39.3441871,8.5968263,4.14079679,5.2815,6.37418437,7.2974889,6.13259775,8.4236347,3.18570235,6.56155259,4.178343,6.80016998
70,39.3441871,8.5968263,4.17412459,5.2815,6.40496127,7.4660519,6.25129075,8.4887176,3.20874565,6.57883079,4.2044721,6.81016333
71,39.3441871,8.5968263,4.23909179,5.2815,6.49082897,7.5377317,6.51490575,8.93557360000001,3.29223375,6.63576749,4.2277081,6.85168363
72,39.3441871,8.5968263,4.25416089,5.2815,6.56407167,7.5633304,6.69978075,9.65214360000001,3.33748185,6.69408599,4.2504499,6.89253433
73,39.3441871,9.0241923,4.31559009,5.2815,6.59961137,7.6450252,6.91243875,9.7037599,3.37826775,6.85258999,4.2755476,6.96915653
74,39.3441871,9.1095169,4.43813809,5.2815,6.68023017,7.7216387,6.9222454,9.8082559,3.44953185,7.07684799,4.3264746,7.15222353
75,39.3441871,9.2339109,4.48248649,5.2815,6.83638017,7.8374787,7.0168981,10.0004229,3.52788935,7.55973499,4.353503,7.20198043
76,39.3441871,9.3424379,4.56050799,5.2815,6.85718797,8.0011367,7.1127342,10.2107009,3.57126515,7.93151299,4.365646,7.33906943
77,39.3441871,9.4081272,4.56821497,5.2815,6.89452647,8.0322934,7.1266226,10.6728089,3.59148755,8.34812299,4.3884788,7.38489203
78,39.3441871,9.6593402,4.60540357,5.2815,6.93369047,8.1983244,7.2082655,11.0322649,3.60190295,8.51112799,4.4032395,7.48370903
79,39.3441871,9.7274099,4.63681717,5.2815,6.97138717,8.2486025,7.3773505,11.2352309,3.62689375,8.54542049,4.4282582,7.60453703
80,39.3441871,9.8315309,4.66489367,5.2815,6.98778317,8.2699217,7.5623845,11.2795275,3.64766595,8.59855469,4.4516139,7.65127603
81,39.3441871,9.8799602,4.74595757,5.2815,7.01135547,8.3903257,7.6457396,11.8505565,3.68545125,8.67194979,4.4625714,7.71811423
82,39.3441871,10.1561862,4.80533317,5.2815,7.03393807,8.4332333,7.7006811,12.4800895,3.83620225,8.72740989,4.47561,7.81810653
83,39.3441871,10.3483472,4.83650907,5.2815,7.06360037,8.7847223,7.7516408,12.8448825,3.90420175,8.81398599,4.4906628,8.01755353
84,39.3441871,10.3483472,4.95500007,5.2815,7.09677557,8.9953233,7.8723928,12.9220321,3.94571365,8.89004399,4.5025594,8.30989953
85,39.3441871,10.3483472,5.02129197,5.2815,7.14462397,9.1683653,7.9634735,13.2183911,3.97608065,9.02194399,4.5247957,8.71305753
86,39.3441871,10.3483472,5.12132997,5.2815,7.15470717,9.2753223,8.030979,13.3872931,4.01567395,9.15200299,4.552115,9.29857853
87,39.3441871,10.3483472,5.28166697,5.2815,7.20043777,9.3857813,8.206838,13.7187361,4.04295555,9.23546299,4.5767041,9.58171053
88,39.3441871,10.3483472,5.29863857,5.2815,7.31796077,9.5528003,8.2691329,13.9826301,4.11069165,9.29296289,4.6029573,9.89274353
89,39.3441871,10.3483472,5.42638057,5.2815,7.50748677,9.61582490000001,8.3170955,14.1550871,4.11998423,9.30758179,4.6392931,9.92142813
90,39.3441871,10.3483472,5.55887957,5.2815,7.51074584,9.7010239,8.3315222,14.1821213,4.17159733,9.31460362,4.6615329,9.99485283
91,39.3441871,10.3483472,5.58498667,5.2815,7.59198904,9.7837195,8.4288082,14.2642566,4.19539823,9.35809062,4.6805676,10.03942613
92,39.3441871,10.3483472,5.64284807,5.2815,7.72110404,9.9241035,8.5429172,14.2970066,4.20898653,9.37793072,4.6941212,10.05836283
93,39.3441871,10.3483472,5.69216777,5.2815,7.81245734,9.9399936,8.5540403,14.4799186,4.26297763,9.41472512,4.7091088,10.16579583
94,39.3441871,10.3483472,5.78429777,5.2815,8.16983534,9.9926737,8.6362259,14.6966656,4.28520693,9.43834782,4.7282909,10.26957083
95,39.3441871,10.3483472,5.88746777,5.2815,8.52995634,10.0077501,8.7709139,14.7658549,4.34577883,9.49678302,4.7394909,10.46710483
96,39.3441871,10.3483472,5.93202787,5.2815,8.90416434,10.0793711,8.9042759,14.8861789,4.43866873,9.65351702,4.7527389,10.55028883
97,39.3441871,10.3483472,6.01763487,5.2815,9.20496534,10.1155878,8.9989537,15.0781979,4.52660893,10.12674002,4.7721768,10.58767043
98,39.3441871,10.3483472,6.05954837,5.2815,9.35925434,10.1509125,9.1560027,15.1504553,4.62507213,11.02494302,4.7997259,10.66536983
99,39.3441871,10.3483472,6.15718967,5.2815,9.40189714,10.2359106,9.3254397,15.1905273,4.67383753,11.36836302,4.8069675,10.73875523
100,39.3441871,10.3483472,6.19889457,5.2815,9.50018854,10.2655681,9.3690746,15.267706,4.69314963,11.81043902,4.8179367,10.82338663
101,39.3441871,10.3483472,6.22398977,5.2815,9.70403154,10.3830321,9.4078269,15.3303966,4.71639323,11.90164722,4.8281204,10.93932563
102,39.3441871,10.3483472,6.24589737,5.2815,9.76783544,10.433799,9.4271253,15.5782476,4.84562623,11.96861772,4.8421074,10.95404243
103,39.3441871,10.3483472,6.33279867,5.2815,9.82974164,10.4689771,9.7218233,15.7997256,4.90016943,12.12422372,4.8648961,10.99842533
104,39.3441871,10.3483472,6.44725967,5.2815,9.94973864,10.5745181,9.8181002,15.817169,4.92375273,12.23521172,4.87062995,11.05781553
105,39.3441871,10.3483472,6.47059047,5.2815,9.98959754,10.5881061,9.9229842,16.085685,4.96933673,12.37608972,4.88841215,11.08736443
106,39.3441871,10.3483472,6.61243447,5.2815,10.01343004,10.6655583,9.9460015,16.454294,4.97669089,12.40841542,4.89246985,11.13674453
107,39.3441871,10.3483472,6.74903447,5.2815,10.03542014,10.7501066,9.9669779,16.4710706,5.01949649,12.48003502,4.91009425,11.20121973
108,39.3441871,10.3483472,6.84811367,5.2815,10.11716244,10.8934766,10.0581008,16.5426777,5.03120889,12.52208192,4.93150255,11.28341643
109,39.3441871,10.3483472,6.89761347,5.2815,10.13800534,10.9884063,10.0802058,16.5554948,5.05621009,12.62721692,4.97516355,11.43920743
110,39.3441871,10.3483472,7.02831147,5.2815,10.15950224,11.0628188,10.1913658,16.7135168,5.13767109,12.70752172,5.02596465,11.63689843
