"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"1",0,0,0,0,0,0,0,0,0,0,0,0
"2",0.047224,0.0259805,0.130592,0.0185541,0.0393075,0.00814746,0.249639,0.0912031,0.15432,0.174897,0.470713,0.152144
"3",0.1203769,0.1135238,0.1792079,0.0346349,0.04895652,0.03132276,0.699472,0.1306215,0.2007724,0.2196204,0.865251,0.299231
"4",0.1522692,0.2131867,0.1941268,0.0855926,0.13338892,0.05198236,0.900984,0.1478595,0.3454394,0.4257414,0.9485752,0.423428
"5",0.2339746,0.2289319,0.2452831,0.1163874,0.14355722,0.08776616,1.257511,0.15499887,0.3778758,0.5529504,1.3669522,0.4968363
"6",0.2541026,0.2444844,0.3063038,0.1557903,0.1454399,0.11176836,1.378501,0.17591547,0.4428797,0.5961324,1.5141432,0.518579
"7",0.26317912,0.2557721,0.3667469,0.1692676,0.1981404,0.12065496,1.3930351,0.19737197,0.5312936,0.7943574,1.8162512,0.5596422
"8",0.27351792,0.2987444,0.4798279,0.2120042,0.2589974,0.14674076,1.4844123,0.23466707,0.5444298,0.828216,2.0169272,0.5851069
"9",0.32385542,0.3567474,0.5479798,0.2231108,0.2710792,0.17251546,1.7890373,0.25478117,0.6792648,0.8898799,2.6740012,0.6007348
"10",0.44725142,0.4389591,0.6811068,0.2815468,0.288475,0.27895446,3.7866373,0.38915217,0.7820778,0.89936626,3.6623622,0.6564329
"11",0.48204632,0.4847773,0.7190185,0.3435983,0.3827515,0.37273976,5.4799273,0.42423077,0.8558551,0.95694946,5.1067722,0.6823181
"12",0.51769032,0.4998743,0.8363245,0.4101839,0.4315688,0.41916776,6.5313573,0.46359107,0.9393826,1.07729246,5.9448122,0.7346905
"13",0.53389622,0.7059343,0.9080304,0.441589,0.470515,0.45457836,7.7785173,0.49554087,1.0832076,1.09735176,6.6066902,2.0846305
"14",0.57671812,0.8714073,0.93788,0.45041064,0.5242818,0.46906326,9.3192773,0.55065557,1.1843476,1.1029094,7.1859232,3.8627105
"15",0.62565682,0.8831404,0.9725253,0.47325614,0.5835241,0.51320516,10.2769223,0.65588357,1.3084286,1.11148061,7.8888972,5.3805105
"16",0.68200352,0.9265943,1.0148767,0.49650064,0.59315271,0.53847556,10.9080723,0.71300457,1.4671566,1.15021891,9.1184772,6.6080605
"17",0.73285102,0.9536415,1.0997021,0.51744634,0.63331551,0.56287876,11.0037409,0.74556277,1.5053589,1.16275211,9.6902882,7.6966205
"18",0.77695012,1.0439416,1.1617556,0.52661577,0.64244447,0.62605476,11.1978509,0.76481257,1.5244518,1.17416001,11.0372882,9.2379805
"19",0.79352672,1.1140009,1.212833,0.56101617,0.68066017,0.71636756,11.4619259,0.78260677,1.5797418,1.18456651,13.4708782,10.5970905
"20",0.86639902,1.176068,1.2445567,0.62134897,0.73564187,0.77463286,11.8393449,0.80062207,1.5949279,1.24068151,15.1333082,12.1429205
"21",0.89673812,1.2273469,1.2954745,0.66415967,0.76699137,0.82538736,12.1440379,0.82435727,1.7070799,1.27184621,16.1282252,13.1400905
"22",0.90248534,1.23251972,1.3811928,0.71776007,0.79301157,0.85578786,12.4322899,0.86959967,1.7639258,1.28800621,17.1695352,14.3467305
"23",0.91542844,1.24217763,1.5241118,0.74917907,0.796025,0.89941566,12.7679739,0.89764437,1.9308948,1.34725271,18.6188052,15.4313605
"24",0.93216374,1.2480869,1.6095972,0.77720977,0.8065947,0.90462333,13.2126159,0.95323337,2.1941568,1.39280711,18.8995422,16.2339945
"25",0.99031464,1.25171531,1.7429262,0.79085287,0.8320779,0.95789023,13.3223239,1.03976627,2.280861,1.42569791,19.1659282,16.4632375
"26",1.04007654,1.28496291,1.8317044,0.83194507,0.83805459,0.98521593,13.3706892,1.11758277,2.388908,1.46600061,19.7744512,16.5682095
"27",1.09508504,1.29322942,1.8537432,0.85790107,0.87345199,1.00454193,13.5625482,1.13080397,2.504797,1.47795281,20.8115312,17.0597055
"28",1.16311104,1.30843652,1.9223849,0.91480777,0.89234239,1.01269256,13.7659122,1.16236427,2.5969971,1.52069731,21.5615002,17.4809705
"29",1.17151865,1.31428484,1.968408,0.94884027,0.89825209,1.05905046,13.8468414,1.19375397,2.642843,1.55698511,22.1554862,18.4164235
"30",1.24711325,1.41448984,2.078853,1.03084087,0.90138271,1.10602806,13.8779746,1.20889567,2.7319129,1.58963801,22.5254762,18.9897055
"31",1.25894065,1.44742334,2.21897,1.08794937,0.90851287,1.18055616,14.1262596,1.23477007,2.9203419,1.69641901,22.8404252,19.3812445
"32",1.26552506,1.47887444,2.2397714,1.10044257,0.91798697,1.20992576,14.3441156,1.24356951,2.9901624,1.76518711,23.3197712,19.8366305
"33",1.28312536,1.51290034,2.24085497,1.13074167,0.92589595,1.23115446,14.5670746,1.27236141,3.0451934,1.77840031,24.3008002,20.3301505
"34",1.38193016,1.60207614,2.35219397,1.20010817,0.95030775,1.25214066,14.7555226,1.31401951,3.1366259,1.80399331,25.3609602,20.7921555
"35",1.49770816,1.61080813,2.36413737,1.21537587,0.96053915,1.28237446,14.9275586,1.38277411,3.2288796,1.92364831,26.8244702,21.2167105
"36",1.55107666,1.68116513,2.45755647,1.27900967,0.96509605,1.30773816,15.1639786,1.47428681,3.3123746,2.02877331,28.3898202,21.4866225
"37",1.57488716,1.75367773,2.57053347,1.279744444,0.98069715,1.31285516,15.4071096,1.55495771,3.3667062,2.06978171,29.8231302,21.8214115
"38",1.62032196,1.82761223,2.59280987,1.361188244,1.08006825,1.37695576,15.5981116,1.60551711,3.4225796,2.27571371,31.5243002,21.9945615
"39",1.62937374,1.90931493,2.60920427,1.387465544,1.19145225,1.40126596,15.9855736,1.62818481,3.5605446,2.35296271,32.7860902,22.6108435
"40",1.68028184,1.92264353,2.65586457,1.417931544,1.20162735,1.47867636,17.7756636,1.65254481,3.8085426,2.36703241,34.0994702,22.9524875
"41",1.72932044,1.92633958,2.77029857,1.453438344,1.22213045,1.51710376,18.3392936,1.68294361,3.8379237,2.48168241,35.3863702,23.3508715
"42",1.83765144,1.98861328,2.90062957,1.512184544,1.24044775,1.55988006,18.7238006,1.69669641,3.9397627,2.54762191,35.8974202,23.7315305
"43",1.94113444,2.01803548,2.96742777,1.545833144,1.24788696,1.61218106,19.2952806,1.73732351,3.9628695,2.60216561,36.0803182,24.2180355
"44",1.97964604,2.03568578,3.05956487,1.622096244,1.27993436,1.64277586,19.9530706,1.76431571,4.0419996,2.64446841,36.6883442,24.4808305
"45",1.99271854,2.05300488,3.33225487,1.629031804,1.28680166,1.6497066,20.6821416,1.79112091,4.0730812,2.71443001,37.7801542,24.6852905
"46",2.01823434,2.08434478,3.37357607,1.646548804,1.31472016,1.7001788,20.9566826,1.87715291,4.1003762,2.85128501,38.8657742,24.7834553
"47",2.03900584,2.10196858,3.46495857,1.747365804,1.34526386,1.7198749,21.4620366,1.91884401,4.1368576,2.97848301,40.0431242,24.7985432
"48",2.04504629,2.13151418,3.49366997,1.752021104,1.35822036,1.7310261,21.6975616,1.95618851,4.2712856,3.07571641,40.6598952,24.9228892
"49",2.10061159,2.15341118,3.56554367,1.820405104,1.42640296,1.7480267,21.9685106,2.00929731,4.285991,3.09039601,40.9911912,25.1279812
"50",2.11296069,2.20385708,3.68803267,1.828972514,1.48976966,1.8080331,22.3891516,2.05974331,4.3398637,3.13105201,41.2348792,25.4027922
"51",2.17399289,2.26667568,3.71981517,1.855717514,1.56452986,1.8227567,22.4814892,2.12899631,4.4069229,3.21553921,41.5694072,25.5688062
"52",2.19050969,2.28582438,3.75675397,1.929845614,1.58292036,1.8579108,22.7633642,2.17627841,4.4840186,3.26854541,42.5397992,25.647597
"53",2.24856479,2.37472948,3.82424857,1.971919614,1.64401816,1.9085297,23.1241472,2.24124421,4.530323,3.31106691,43.2472222,25.997884
"54",2.28583549,2.40746338,3.85447007,1.987242514,1.69184136,1.9646248,23.2944122,2.28788271,4.5714475,3.33937311,43.8213492,26.0343426
"55",2.29246104,2.43291528,3.99131007,2.015106514,1.75463606,2.0641489,23.6342772,2.30022561,4.5886612,3.36505711,44.4142072,26.4185656
"56",2.32248464,2.44120175,4.10642507,2.046656714,1.81628076,2.1360867,23.7124108,2.32690741,4.6012954,3.37591511,44.8560332,26.7740656
"57",2.34925434,2.45066951,4.11915997,2.051535654,1.83553546,2.1664936,24.5845518,2.33798411,4.6408204,3.42649711,45.6923902,27.0817326
"58",2.37422014,2.49571141,4.21660057,2.074635854,1.83741782,2.1784369,24.6990178,2.35098251,4.72983,3.43938151,46.5447022,27.2413136
"59",2.40580064,2.51726141,4.38752557,2.157134954,1.86276882,2.2184709,25.6857038,2.38225331,4.7510912,3.48535141,47.4319242,27.3771846
"60",2.44545834,2.54935731,4.46245697,2.297318954,1.86863785,2.2395374,25.7666233,2.40094511,4.7676782,3.66599641,48.1763512,27.5751486
"61",2.45672664,2.56766131,4.50265057,2.406607954,1.87034448,2.2650866,26.0534133,2.40537083,4.7892361,3.81670041,48.8676282,27.6915436
"62",2.58378764,2.57240449,4.58967337,2.425776954,1.87576853,2.26742379,26.2377693,2.43976233,4.8474341,3.84780751,49.7341082,27.9538436
"63",2.63850824,2.60359799,4.73327137,2.430592074,1.88080777,2.29353499,26.4178773,2.49888003,4.8557266,3.85201276,51.1002682,28.1183536
"64",2.67483964,2.61864589,4.86645537,2.436392654,1.88859458,2.31261009,26.7704713,2.50249985,4.8819294,3.88182616,51.7217932,28.3494826
"65",2.69940364,2.62687831,4.89305187,2.480374254,1.93316218,2.3175758,26.8140458,2.52026385,4.9015962,3.89164368,52.2277872,28.5097676
"66",2.74843654,2.66424621,4.93446477,2.518184254,1.93550527,2.32293677,27.4207328,2.52703468,4.9346566,3.90646718,52.7526022,28.6028219
"67",2.81525884,2.69442481,5.08777777,2.552005554,1.96761877,2.34613177,27.8567148,2.53555774,5.0152736,3.91423673,53.0722072,28.7752939
"68",2.83648724,2.69998321,5.09899567,2.576917554,1.97091071,2.39934067,29.1751448,2.62735054,5.0879643,3.94045143,53.2562472,29.1088929
"69",2.90888104,2.70407618,5.18414617,2.585552314,2.01416591,2.44123427,29.6746288,2.66559484,5.2515993,3.95730903,53.5408822,29.7282759
"70",3.02925704,2.74085618,5.24435447,2.633576014,2.01785514,2.49059787,30.2837728,2.76014564,5.4692133,3.97119003,53.9467402,30.2407669
"71",3.15766404,2.75765468,5.35177447,2.643753014,2.04050034,2.51063087,30.3463064,2.84825284,5.4918651,4.03529203,54.3938292,30.7275849
"72",3.21661854,2.80500058,5.43205397,2.669112214,2.11232304,2.52314637,30.7926794,2.88911304,5.50050179,4.04390362,54.6034732,30.9256119
"73",3.23332004,2.83925868,5.50043197,2.700927214,2.17494854,2.55230917,31.2326374,2.92431704,5.52710909,4.06500662,54.9738082,31.4628529
