Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.030827,0.184046,0.0102037,0.0323242,0.0280814,0.1137,0.198473,0.0768056,0.101508,0.0248451,0.113727,0.113127
3,0.1008367,0.403855,0.0648775,0.04175923,0.0573389,0.19969,0.2713393,0.0998245,0.175518,0.112895,0.139249,0.380448
4,0.152296,0.4185704,0.1016383,0.12610253,0.0996178,0.2238883,0.5342183,0.0998245,0.2147017,0.1904822,0.245592,0.574149
5,0.2269209,0.5068901,0.1610336,0.17167123,0.1378914,0.236553,0.6521363,0.1250491,0.2147017,0.19854279,0.2782268,0.6533357
6,0.3944919,0.9373511,0.2040573,0.27270423,0.2452884,0.271665,0.7392561,0.12619567,0.2660773,0.27090399,0.3009073,0.7614527
7,0.4277548,0.9501271,0.2217208,0.27950646,0.3281457,0.3003712,0.9944761,0.15938177,0.2918905,0.28925949,0.3260668,0.7851606
8,0.4579104,1.0932141,0.3026454,0.29737576,0.3407941,0.3492073,1.9427651,0.16500536,0.3965985,0.29592222,0.3945588,0.8100261
9,0.5191066,1.1670754,0.4202144,0.40056676,0.3716623,0.3838561,2.8861101,0.39539636,0.5432135,0.31601312,0.4285515,1.0126961
10,0.616676,1.2411255,0.5212954,0.56401476,0.3835754,0.4382332,2.9504816,0.42440466,0.6668075,0.41375262,0.4844273,1.0741514
11,0.6986601,1.3654565,0.557138,0.62508926,0.4293648,0.467978,3.1221716,0.58599066,0.67030605,0.45152062,0.5729876,1.1654953
12,0.7253382,1.5656425,0.61041,0.69062016,0.4880826,0.5404976,3.2752776,0.65409846,0.72530045,0.46326692,0.6081208,1.2870753
13,0.7785897,1.7338395,0.6594268,0.72309736,0.6580266,0.6322154,3.4977636,0.77203846,0.76499305,0.49408382,0.6615873,1.4241203
14,0.8388246,1.8127506,0.7175666,0.83964536,0.744465,0.6878707,3.5259182,0.95133346,0.87514005,0.54069982,0.7447833,1.4506034
15,0.8924599,1.9209896,0.7538701,0.89143236,0.8227482,0.7472916,3.8375712,1.01906816,1.02121505,0.64352182,0.7447833,1.5477121
16,0.9199374,2.1313636,0.7902495,0.98271236,0.9063168,0.8459181,3.9524792,1.03940796,1.13157305,0.65629962,0.75024821,1.5684376
17,1.0188779,2.2564846,0.8597794,1.07399236,0.9330574,1.0133991,4.1435372,1.15518396,1.1415306,0.68698852,0.79330711,1.6441102
18,1.1427409,2.3552108,0.9924494,1.10164646,0.9701882,1.049169,4.2155756,1.21582856,1.14401867,0.75202062,0.79330711,1.7405639
19,1.2158131,2.4740318,1.0826475,1.14025456,0.993902,1.0783055,4.2155756,1.26949486,1.16301857,0.76813202,0.80182037,1.8016914
20,1.2872239,2.5782438,1.0961698,1.15882796,1.00265216,1.0916351,4.3484086,1.28407196,1.21018297,0.77222391,0.80182037,1.8253569
21,1.5289229,2.7648608,1.110222,1.21336856,1.00961754,1.1245153,4.6096526,1.31465956,1.25511197,0.79288311,0.84888327,1.9661309
22,1.6228579,3.2416658,1.310616,1.27721056,1.17808654,1.1783146,4.7257926,1.38462016,1.44582997,0.81643461,0.86630977,2.1181989
23,1.6426219,3.4199288,1.3837421,1.37760056,1.34979054,1.262854,4.9830726,1.41051576,1.45192339,0.85486301,0.866645041,2.1369926
24,1.6559758,3.7271238,1.4735266,1.46127336,1.43046704,1.336223,5.1631686,1.49471656,1.47847989,0.86898111,0.906113141,2.14153707
25,1.8770178,3.7864071,1.5976536,1.54852636,1.44641684,1.34418264,5.2403526,1.56040196,1.48380451,0.94221921,0.922367141,2.16835757
26,2.0008598,3.8539879,1.6962786,1.65669936,1.48183284,1.39919384,5.3561576,1.57033332,1.49407371,0.96497221,0.967132541,2.22284727
27,2.1018808,3.9562149,1.78883,1.71154056,1.49625544,1.42029774,6.0517476,1.58749482,1.53634551,0.9727872,1.004919541,2.30841237
28,2.1964475,4.1248459,1.8679199,1.77895056,1.57632204,1.47275534,6.8630986,1.60779302,1.56153481,1.0412056,1.115202541,2.44422237
29,2.3002135,4.2922849,1.87128899,1.81927446,1.62705864,1.51999864,6.9789536,1.62809122,1.56153481,1.0999601,1.160705741,2.53664937
30,2.4252615,4.4085079,1.95534089,1.90035396,1.71658914,1.54470994,7.1719616,1.64838942,1.57296141,1.1123513,1.208894041,2.56954897
31,2.5368185,4.4287652,2.11571489,2.09967096,1.78665724,1.58846484,7.2491456,1.64838942,1.58886801,1.11713163,1.222844341,2.64891857
32,2.5814177,4.4756293,2.27293689,2.19031026,1.84675234,1.5970696,7.2491456,1.67714602,1.59419263,1.13356463,1.257130041,2.69180057
33,2.6127139,4.6946623,2.29077709,2.24763936,1.88038734,1.60010274,7.2879751,1.75301882,1.60518723,1.15507063,1.281645341,2.75368567
34,2.6609229,4.7969033,2.31022329,2.31886596,1.91293964,1.61959694,7.5292351,1.94185882,1.79165123,1.25436653,1.311632441,2.77429817
35,2.8502119,5.0372203,2.43715829,2.50157896,1.96570784,1.69501524,7.7933721,2.04575582,1.82301383,1.26902373,1.332229341,2.88149517
36,3.0162709,5.1968483,2.49860449,2.61829996,1.98551104,1.73891534,7.8559624,2.12673322,1.83150889,1.39414873,1.358826541,2.92364847
37,3.05079,5.5103563,2.53199769,2.62817718,2.03087344,1.79227874,7.8969167,2.34765922,1.85077249,1.49912073,1.431943041,2.99911217
38,3.0923358,5.8952463,2.54520629,2.64913068,2.06426404,1.81681864,8.1902607,2.45320822,1.91007259,1.52337933,1.538473041,3.02387097
39,3.1863271,6.1383693,2.55871129,2.69429988,2.13266814,1.83338954,8.2925477,2.52511362,1.99442349,1.56035763,1.621533141,3.04344937
40,3.2092257,6.3102203,2.58634429,2.72262078,2.19069774,1.8396695,8.3118437,2.57883142,2.03292899,1.57053613,1.662474541,3.09309187
41,3.2833625,6.4063897,2.60020199,2.81405028,2.27941064,1.84271255,8.3891793,2.67797382,2.12559869,1.60160133,1.671361171,3.25009287
42,3.2994079,6.5611947,2.64209299,2.85584918,2.28827812,1.87351265,8.6043543,2.69009582,2.14587529,1.63138163,1.681124261,3.36537887
43,3.3339619,6.8239027,2.64557213,3.00106618,2.30135532,1.96061615,8.6375075,2.80543182,2.19357259,1.64811673,1.706093261,3.37727937
