Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
TEMP,117.400686,1.8880298,2.3845678,2.952146,4.2925254,8.4003236,1.7165757,3.4075665,1.3800409,2.7469416,3.213825,1.6421273
TEMP,117.509749,2.0128228,2.5024468,3.493986,4.5412434,9.4644736,1.7872716,3.5983855,1.4293284,2.7917512,3.2723869,1.8115923
TEMP,93.194185,1.5453318,1.7974597,3.200614,3.3311687,9.5559826,1.6700311,3.0335685,1.2618502,1.5566668,2.7977789,1.7434733
TEMP,66.206185,1.466033,1.4576807,3.033065,2.5985837,9.789267,2.1456979,2.3947767,1.2791876,1.0611108,2.7368451,1.703569
TEMP,65.155615,1.5044327,1.4147487,3.015546,1.9467748,10.047318,2.7816535,2.3173441,1.0772099,0.9751949,2.2488971,1.5871217
TEMP,35.509515,1.3583267,1.6818429,3.271195,1.8148458,10.0160233,2.6229415,2.2154853,1.2847649,1.0367293,2.4689731,1.3228241
TEMP,26.746675,1.2247397,1.8292909,3.621284,2.0001903,10.0232095,2.4653726,1.8424033,1.3798719,0.9037233,2.4400121,1.3082681
TEMP,4.149375,1.2309253,2.0521779,3.606219,1.9285305,8.8505095,2.4123256,1.5247513,1.3165551,0.8701285,2.1484795,1.5385891
TEMP,0.932605,1.1883443,2.0880909,3.530981,1.897629,6.0863045,2.3847696,1.8081428,1.6146031,0.8659035,2.0488355,1.5728481
TEMP,0.593893,1.2255353,2.0977109,4.74235,1.732276,4.5389995,2.408001,2.0184198,1.994222,0.8362625,1.6426404,1.5424214
TEMP,0.516299,1.3046841,1.7907069,5.161593,1.511979,3.0756225,2.4836944,2.1209168,1.9996734,0.7684229,1.5983444,1.6106844
TEMP,0.407236,1.7607681,1.7728469,4.843406,1.374897,2.2559365,2.448942,2.3069358,2.1723989,1.0466843,1.6333219,1.7326564
TEMP,0.0,8.4599581,1.8146902,5.025852,1.3811921,1.7950013,2.7457775,2.2013178,2.3390091,1.6928127,1.3971821,1.6443813
TEMP,0.0,15.6182849,1.7584391,5.015033,1.2786323,1.8943763,2.4979995,2.3464696,2.2912591,2.8142417,1.392649,1.8577164
TEMP,0.0,15.7737466,1.7422231,5.659615,1.3443362,1.5731543,1.9573455,2.4668362,2.2787806,4.3759576,1.3349931,2.1016647
TEMP,0.0,17.4166966,1.7589261,6.152038,1.2464842,1.7405433,2.1088945,3.335509,2.0152196,5.8335706,1.0156315,2.1282941
TEMP,0.0,17.2802826,1.9373881,6.87912,1.3113782,1.9083708,2.2820244,3.28271,1.6877834,6.3671066,0.6831898,1.9845483
TEMP,0.0,17.213139,1.7594471,6.790499,1.649543,1.8462608,2.1263859,3.612202,1.7330385,6.7025014,0.6550638,1.6259717
TEMP,0.0,17.066404,1.6292272,6.888856,1.8581696,1.8026756,1.8410379,3.912469,1.2856256,6.9638434,0.5405236,1.4159561
TEMP,0.0,16.821675,1.7635912,5.348786,1.8562156,1.6820906,1.7611943,3.6225766,1.0043576,6.941012,0.6744227,1.4577947
TEMP,0.0,16.679328,1.7676652,4.418216,1.7923126,1.8083346,2.0439363,3.4673636,1.1209581,7.0394826,0.7869297,1.2809553
TEMP,0.0,16.098451,1.9536352,5.784223,1.7534812,1.7171786,2.0733139,3.3711106,0.9721779,6.8017945,1.0238263,1.1775823
TEMP,0.0,9.175191,1.9448513,6.785519,1.6749782,1.64392885,2.4481889,3.8264896,0.8926049,6.1361318,2.2290811,1.4064364
TEMP,0.0,1.968521,1.9931004,6.661967,1.6309964,1.72951085,2.7423089,4.2867106,0.9191844,5.0093352,4.306748,1.4349984
TEMP,0.0,1.74434,1.8558077,5.91539,1.6834534,2.00382185,2.7802079,4.2910486,1.1147636,3.6103622,4.7172029,1.3205924
TEMP,0.0,0.0,1.7269297,5.079335,1.7711724,1.92547985,3.0842169,4.1506006,1.1089826,2.2974302,4.8668035,1.2707866
TEMP,0.0,0.0,1.6842447,3.851545,1.7291724,1.90517785,3.3893989,4.5624626,1.1179887,1.9926192,5.0578432,1.2770102
TEMP,0.0,0.0,1.6623797,3.606574,2.4081694,1.91603185,3.6533804,4.3627696,1.1420041,1.6316943,5.0786836,3.7005988
TEMP,0.0,0.298921,1.6352919,3.297036,4.1843934,1.94182545,3.9648354,4.4432116,1.228386,1.3325597,5.0835188,5.7156244
TEMP,0.0,0.3754822,1.3957588,3.297036,4.3940694,1.85989245,5.0907631,4.977627,1.1477597,1.4803141,5.0381568,7.9057734
TEMP,0.0,0.6146192,1.3920159,3.297036,5.0862254,1.74634245,5.5210541,4.907498,1.0422701,1.3267971,4.9094448,7.9855438
TEMP,0.0,0.7447242,1.5312439,1.707376,5.4635748,1.75509945,5.640784,5.215605,1.0045997,1.4045442,4.6289175,7.8352576
TEMP,0.0,1.1090052,2.0260146,0.134586,5.5153327,2.1050684,5.372138,4.943466,0.9039272,1.5127499,3.39355286,7.6772436
TEMP,0.0,1.5345982,2.1903896,0.0,6.4517953,2.2876884,5.077801,4.44747,0.9814822,1.5399135,1.30039346,7.6635266
TEMP,0.0,1.7126452,2.2762953,0.0,6.4427413,2.2131344,4.9531504,4.442915,1.0984962,1.3956042,0.82139806,7.8158116
TEMP,0.0,2.0379072,2.6514183,0.0,6.3713393,2.3466474,4.5007194,3.82106,1.2573052,1.2935762,0.67046816,7.8365123
TEMP,0.0,2.4483012,2.2898471,0.0,6.1495521,2.3468344,4.06091,3.887998,1.3101263,1.1216002,0.44676913,7.7698332
TEMP,0.0,2.7922332,2.5961841,0.0,5.1325881,2.4563764,3.93006,4.019722,1.387846,1.2122461,0.42926653,5.3717912
TEMP,0.0,2.7483992,2.5926427,0.0,3.1609307,2.586805,3.451549,3.56716,1.469645,1.2566427,0.38613143,3.5400512
TEMP,0.0,2.7487924,2.7088978,0.0,3.0163017,2.715466,2.4073788,3.338182,1.5654523,1.1942867,0.35166043,1.3108933
TEMP,0.0,2.5564689,2.9755367,0.0,2.3883507,2.928189,1.8040958,3.682615,1.6744989,1.3777757,0.40608943,1.4798253
TEMP,0.0,2.8056289,2.8231357,0.0,2.3528547,2.8440241,1.8540338,3.1729366,1.7693955,1.3105395,0.42647413,1.7302185
TEMP,0.0,2.8531659,2.4493287,0.0,2.3678545,2.5395437,1.5941188,3.2085286,1.7863179,2.1384195,0.49583257,1.7679975
TEMP,0.0,2.8393909,2.3341537,0.0,1.6313425,2.0722217,1.5588918,3.2900646,1.6916736,2.7592255,0.48542517,1.7989365
TEMP,0.0,2.9175129,2.2344261,0.0,1.6754765,2.0816317,1.5479006,3.4729826,1.3928215,3.7806678,0.53332107,1.6257785
TEMP,0.0,2.6662938,1.7910291,0.0,1.6290548,1.8811808,1.8918676,3.6582266,1.1720402,4.7041278,0.52622977,1.7941028
TEMP,0.0,2.3071551,1.8312979,0.0,1.77875,1.7064758,2.228441,3.1755876,1.2877452,4.6768408,0.5441245,1.9237951
TEMP,0.0,2.0451736,1.4325004,0.0,1.831679,1.6295688,2.264862,3.2081466,1.2821352,4.8015968,0.5735888,1.9905621
TEMP,0.0,1.9922746,1.4715606,0.0,1.7997217,1.6538638,2.2563478,3.0675066,1.0740325,4.8303788,0.5543839,1.8626948
TEMP,0.0,2.3746722,1.4585676,0.0,2.0899487,1.6442648,2.332885,3.2654186,0.9828021,4.8721128,0.5215318,2.0149847
TEMP,0.0,2.7221137,1.09915919,0.0,2.0684467,1.3502088,2.1480657,2.9900276,1.1388711,4.7995208,0.4867762,1.7774066
TEMP,0.0,2.3428487,0.88719539,0.0,2.0236367,1.3846677,2.4926307,4.485374,1.1001845,5.169703,0.4386324,2.0662736
TEMP,0.0,1.9310307,0.91288539,0.0,2.0424412,1.3598495,2.8461977,4.72089,1.1453816,4.2383378,0.4816366,3.5074426
TEMP,0.0,1.5192127,0.85934939,0.0,1.8302645,1.2307754,2.7377227,4.789738,1.1733622,3.508229,0.5650004,4.7754586
TEMP,0.0,1.2630437,0.96828699,0.0,2.1425525,1.0149314,2.7897205,4.5226361,1.2040308,2.4490385,0.559991,4.9819786
TEMP,0.0,1.1890008,0.88645119,0.0,2.2078572,1.8334053,2.7991615,4.5245241,1.2434435,1.4312477,0.7665582,4.8462092
TEMP,0.0,1.1377455,0.94716059,0.0,2.4708632,2.2074373,2.5100815,4.9659831,1.0281662,1.6599037,1.0189695,4.9403072
TEMP,0.0,1.055795,1.01337109,0.0,2.3986484,2.3963633,2.6731025,4.6532041,1.0106782,1.6817857,1.0174092,4.8929941
TEMP,0.0,0.853607,1.08114499,0.0,2.4742961,2.5909473,2.8229227,4.9637061,1.3869659,1.7125777,1.0365956,4.8347973
TEMP,0.0,0.394255,1.00458889,0.0,2.1373271,2.6144723,2.7603297,4.8386221,1.5121203,1.7295887,1.1570987,4.6531288
TEMP,0.0,0.0,1.1004637,0.0,2.0562444,3.0672133,3.018084,4.8652301,1.2605026,1.6582347,1.1996569,4.6339446
TEMP,0.0,0.0,1.2343225,0.0,1.9437474,3.1696833,3.2286,4.6301301,1.4189492,1.3628017,1.2471471,4.1813456
TEMP,0.0,0.0,1.0537676,0.0,2.0647708,3.2170578,3.275058,6.1080771,1.4492182,1.4994439,1.1991877,2.7222176
TEMP,0.0,1.28084,1.1200016,0.0,2.1387235,3.4045609,3.760033,5.9691421,1.5026759,1.9569247,1.1414701,1.4047386
TEMP,0.0,1.536563,1.3570776,0.0,1.8603895,3.5623789,3.6747912,6.215683,1.6347564,2.6219792,1.227157,1.5653286
TEMP,0.0,1.909379,1.4605474,0.0,2.1885435,3.0185559,3.4704652,6.424667,1.788541,3.99933,1.0576347,1.620955
TEMP,0.0,2.234641,1.5710904,0.0,1.7747287,3.0776069,3.6489872,6.482037,1.9030313,4.726549,0.816141,1.782997
TEMP,0.0,2.431516,1.4927477,0.0,1.8426645,2.7884106,3.3298947,7.643642,1.8209522,5.693254,0.8311221,1.8290481
TEMP,0.0,3.184418,1.4537847,0.0,1.8416685,2.8553456,3.3299547,8.270567,1.4332498,6.015234,0.8428484,2.0851732
TEMP,0.0,3.388427,1.4866033,0.0,1.7898555,2.8505486,3.7306007,8.426543,1.3222777,5.945773,0.7490111,2.4107377
TEMP,0.0,3.700486,1.470865,0.0,1.7467551,2.4092485,3.9294287,8.364245,1.315471,6.053236,0.7406991,2.520867
TEMP,0.0,3.845632,1.519108,0.0,1.5600516,2.5552765,3.3891787,8.736395,1.178497,6.102563,0.7038995,2.596746
TEMP,0.0,4.6735,1.6518969,0.0,1.40822,2.6071526,2.9997607,8.475535,1.494695,6.093996,0.6748184,2.773997
TEMP,0.0,3.968578,1.5612259,0.0,1.3906048,3.4157486,2.5151407,9.414148,1.576256,5.878425,0.6447131,3.142112
