Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
TEMP,1.4847227,0.7463962,0.9547706,1.3303757,2.0514879,1.0246798,1.81904671,0.6607359,0.8709431,1.0430383,1.0795119,0.9780987
TEMP,1.5998777,0.7977845,0.9778788,1.3695861,2.3821499,1.0836606,2.09892871,0.7557723,0.9689997,1.05292547,1.1774362,1.2328577
TEMP,1.5777158,0.69877032,0.9811344,1.3408158,1.9002339,0.9160713,2.02786171,0.703477,1.0035692,1.07302857,1.0933034,1.2623195
TEMP,1.5492963,0.75166752,0.8669054,1.1279527,1.411667,0.7361888,2.03546011,0.712591,1.0583987,1.10932577,1.0762394,1.4367899
TEMP,1.5821993,0.80200952,0.8886239,1.0982127,1.3321353,0.7278458,1.83167031,0.7843157,1.0170097,1.13941577,1.1972284,1.5637053
TEMP,1.4635649,0.84654792,0.8504639,0.7486387,1.3354724,0.6952075,1.91014131,0.8527623,1.1309262,1.21949767,1.1997623,1.6857853
TEMP,1.2149029,0.77612422,0.884475,0.6924213,1.1749073,0.7019261,1.90781311,0.9210806,1.2811252,1.12568077,1.3154209,1.5414073
TEMP,1.1900729,0.69552032,0.9518521,0.680892,1.2228161,0.6780805,1.9405724,0.8935236,1.3884466,1.05107117,1.2639494,1.3597043
TEMP,1.1139015,0.63107962,0.9598761,0.5606268,0.9956025,0.7187305,1.6343049,0.9671415,1.3045781,1.02122027,1.1995891,1.3493679
TEMP,0.843204,0.62284372,0.9163638,0.5001289,0.9897557,0.7539842,1.3630123,0.809886,1.4913448,0.97580027,0.9487548,1.1637968
TEMP,0.8039654,0.59640792,0.7686007,0.33224551,1.0071865,0.700346,1.1917191,0.9612448,1.6887931,1.06054427,0.9663436,1.0151402
TEMP,0.9016744,0.63882592,0.9052025,0.32647821,0.8010655,0.8294432,0.9539397,0.897827,1.7019925,1.1190944,0.9892953,0.8879802
TEMP,0.9822081,0.7020135,0.8518316,0.35937811,0.8194255,0.9260775,0.8824443,0.8668604,1.6758841,1.1332064,0.9713896,0.9049171
TEMP,1.0592344,0.7116035,0.7675483,0.38284471,1.0192654,0.951592,0.9226183,0.8295568,1.5677971,1.1756092,0.9709336,0.7172281
TEMP,1.0180134,0.5709774,0.6938346,0.27124071,1.0738841,0.8888761,0.9421242,0.7578321,1.4439611,1.0799072,0.9180456,0.6441061
TEMP,1.0741546,0.5877896,0.6965263,0.28775831,1.1073008,0.9605866,0.7105589,0.7190783,1.3618391,0.9596912,0.9914543,0.6514391
TEMP,1.1188946,0.6352343,0.653167,0.26152211,1.2087539,0.9098764,0.6802042,0.7600463,1.1757946,1.1151351,0.9681653,0.7928111
TEMP,1.1902423,0.61061346,0.565383,0.22622711,1.3217001,1.0977522,0.7109401,0.6877648,1.0277302,1.2444717,0.9782806,0.9164051
TEMP,1.3606707,0.66050196,0.467393,0.23223101,1.3674367,1.1002618,0.7200921,0.6392308,1.0268481,1.2421105,0.9970429,0.9105359
TEMP,1.5430052,0.68761096,0.4533139,0.20250731,1.474228,1.131052,0.6958532,0.7404503,0.8660703,1.1587095,1.1725362,1.052623
TEMP,1.5160239,0.72461156,0.5022981,0.2105318,1.648846,1.1707188,0.6410464,0.6479587,0.6669146,1.1859375,1.2555854,1.0559787
TEMP,1.3281139,0.72092766,0.411447,0.1875548,1.64848,1.0687078,0.8194238,0.7011683,0.6830066,1.3810362,1.1765967,0.9536183
TEMP,1.2078653,0.73501386,0.4175761,0.1593845,1.4721058,1.1447918,0.9964822,0.7859965,0.742946,1.4754345,1.2922152,0.9004247
TEMP,1.1114224,0.64619946,0.5378224,0.1401812,1.2531099,1.2105508,0.9051701,0.7310646,0.8195253,1.5096865,1.2490813,0.9604161
TEMP,1.0494893,0.63308956,0.6049511,0.2135523,1.2304891,1.1978237,0.99755,0.8724556,0.9464913,1.4758155,1.2523163,0.9248374
