Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.031042,0.131398,0.0531585,0.232137,0.261695,0.0325467,0.017341,0.317831,0.0110383,0.010146,0.0742109,0.128684
3,0.041573,0.1817089,0.0966743,0.34823,0.51992,0.03772234,0.0469718,0.420716,0.0796221,0.04038,0.2265359,0.294821
4,0.0624116,0.2133017,0.1441251,0.749415,0.632647,0.04289798,0.0717108,0.443623,0.1707675,0.0814507,0.2613857,0.46217
5,0.0815629,0.2506332,0.1803508,0.7714818,0.984975,0.07386608,0.0865742,0.546151,0.2282367,0.1823087,0.3443943,0.789303
6,0.1610312,0.2801088,0.2839758,0.7836112,1.432851,0.21966508,0.1076992,0.6106489,0.2605193,0.2846327,0.4218304,1.038551
7,0.2327819,0.3715732,0.3554435,0.8219584,1.81582,0.27214208,0.1659897,0.6492847,0.2722686,0.3883157,0.5144329,1.1168288
8,0.2484999,0.4792522,0.4001662,0.9663594,2.09165,0.29519378,0.1996404,0.7431492,0.2999969,0.4833612,0.5778901,1.2313768
9,0.30173,0.5858392,0.4624107,1.1256494,2.1904544,0.30521578,0.230231,0.7589654,0.381968,0.5021332,0.6127503,1.4834508
10,0.362345,0.7213702,0.5407227,1.2874014,2.2648404,0.32152158,0.2581435,0.76312061,0.491246,0.5159859,0.7067819,1.5101732
11,0.3819012,0.8276272,0.6392595,1.4450994,2.3143864,0.33903718,0.318547,0.77454961,0.653833,0.5461335,0.7461905,1.5328374
12,0.5454772,0.9742902,0.7659045,2.0348874,2.3520196,0.35655278,0.3799675,0.77884273,0.7255992,0.5661563,0.7616244,1.5555016
13,0.7851552,1.0975342,0.8122767,2.6239044,2.3703441,0.37077548,0.4048188,0.84304463,0.7451257,0.5805763,0.7720175,1.6585256
14,1.6668112,1.3075772,0.8883867,2.9056684,2.3810364,0.39501928,0.4296581,0.88086383,0.75165976,0.5993863,0.8529412,1.677375
15,2.5308322,1.4708532,0.9548846,3.2122654,2.4011195,0.42768538,0.4663427,0.89111643,0.95052776,0.6303719,0.9995732,1.859509
16,3.8768622,2.1134462,1.0571436,3.4667714,2.4140519,0.45781418,0.5009225,0.92742593,1.36817076,0.6566132,1.1333512,1.9232496
17,5.0533122,2.8458432,1.2081176,3.7085114,2.449709,0.50478208,0.5344513,0.93997173,1.47149876,0.6781178,1.179726,1.9776599
18,5.7866032,3.2566882,1.3058899,3.9021134,2.4733439,0.52399498,0.53976606,0.95251753,1.86631576,0.7843058,1.2721671,2.1330869
19,7.0498132,3.3795102,1.3872543,4.1007304,2.492979,0.55273208,0.54859642,0.95251753,1.95003476,0.8507325,1.3532989,2.7681549
20,8.4635732,3.47471,1.5030623,4.3938824,2.5451149,0.57192088,0.56712222,0.96087345,2.24068676,0.9933745,1.5553629,3.9958449
21,8.4635732,3.5280678,1.5942025,4.5925604,2.8520159,0.60482928,0.59824882,1.00627545,2.42263476,1.0347939,1.6256596,4.7157219
22,8.4635732,3.608827,1.7162715,4.7787864,3.0378999,0.62865218,0.62334222,1.32571845,2.79678976,1.0989545,1.7355246,5.5980329
23,8.8804152,3.816143,1.7848015,4.9551764,3.4019219,0.70746618,0.68016022,1.58492145,2.98322776,1.1475135,1.8940526,6.8253429
24,9.1859592,3.92434,1.9258735,5.1380284,3.6190879,0.73326688,0.72002652,1.87564045,3.06976226,1.1635235,1.9660695,7.8166369
25,9.3157972,3.9705515,2.0048074,5.3492964,3.8227219,0.74689628,0.72706452,2.27428745,3.10626456,1.1786018,2.1468895,8.8981869
26,9.7812562,3.97686271,2.0495571,5.6161834,3.9757449,0.75547587,0.76495192,2.58020445,3.12931286,1.2356366,2.2353711,10.0115269
27,11.0105762,3.977343235,2.0875247,5.7890404,4.0203349,0.75547587,0.78004852,2.99470645,3.14657136,1.2719396,2.3616781,10.9124359
28,12.3279262,3.987729035,2.2472747,5.9761164,4.0528479,0.76836077,0.79451222,3.42701945,3.15978576,1.3023925,2.4767661,11.4552209
29,13.5672262,4.000364235,2.3099169,6.2767584,4.0673741,0.79275397,0.83871262,3.79129645,3.20734506,1.3769171,2.5649006,11.8815109
30,14.6273762,4.039603335,2.3854745,6.5118184,4.1059974,0.80057016,0.87050362,4.15535445,3.21184622,1.4085904,2.5956058,12.1792129
31,14.9388032,4.070272935,2.4394428,6.7146444,4.1567086,0.80619009,0.89490252,4.57092745,3.24253312,1.4354835,2.7258468,12.3833329
32,15.1674592,4.121697935,2.4639542,6.9291014,4.2736566,0.81760689,0.91777802,4.92230745,3.2513766,1.486489,2.8211112,12.5235939
33,15.3409082,4.205195535,2.5500892,7.0832284,4.4218456,0.825278,0.93655882,5.18672645,3.25701494,1.5802003,2.9759062,12.6790539
34,15.6240862,4.272849035,2.7590472,7.2852284,4.5903816,0.8835267,0.98118172,5.62287945,3.28768234,1.5986062,3.1035432,12.9400099
35,16.4437002,4.312684635,2.9045132,7.4315894,4.7048016,0.9182268,1.00563642,5.90286545,3.30194984,1.8334492,3.1976268,13.0739759
36,17.5418302,4.318514375,2.9860728,7.6200034,4.9335936,0.9319916,1.02453272,6.30465545,3.31271634,2.0131182,3.290438,13.1797219
37,18.2905612,4.402487475,3.0537361,7.7552604,5.0889636,0.93911152,1.04487172,6.72199845,3.33063834,2.1015169,3.395728,13.3511849
38,18.9675002,4.624107475,3.2284331,7.9517054,5.3959896,0.95024572,1.08241082,7.15247145,3.35995074,2.1818142,3.50439,13.6512359
39,19.1647432,4.664022175,3.3819651,8.1379144,5.5163156,0.97519512,1.09138529,7.45871645,3.38569384,2.2516838,3.652921,13.9623809
40,19.3342292,4.778086175,3.4258476,8.3719624,5.5411929,0.98682792,1.11351879,7.64636345,3.42476464,2.2624473,3.870893,14.1176359
41,19.7786862,4.850745575,3.5023692,8.5766504,5.54455978,0.99444251,1.12627189,7.73984555,3.42905957,2.2953457,4.013452,14.1861016
42,20.5316932,4.870292175,3.5295596,8.7826394,5.58071458,0.99756817,1.16539919,7.85551855,3.44367057,2.30213089,4.249157,14.3299046
43,21.3912812,4.891904775,3.560237,8.9626654,5.64547708,1.04716947,1.17373643,7.92709925,3.4463236,2.35316769,4.365131,14.3985511
44,21.6145502,4.929489375,3.574996,9.1501184,5.66562038,1.05020483,1.18685223,7.96460795,3.4564516,2.57549469,4.4138921,14.4097354
45,22.1150452,5.180547375,3.59209,9.2746184,5.75350198,1.07699283,1.21678123,7.99529485,3.4817155,2.63572629,4.5132459,14.5368104
46,22.2427972,5.451942375,3.6160344,9.3779024,5.75350198,1.08905853,1.26829403,8.12109285,3.5008248,2.80323529,4.6589239,14.572576
47,22.6620762,5.971954375,3.6387383,9.4198279,5.78264438,1.10067093,1.28334813,8.48814485,3.5154036,2.82410829,4.7413085,14.6450455
48,23.4010972,7.032384375,3.6584429,9.4695847,5.79489068,1.12381243,1.30342373,8.94242385,3.52281199,2.85723639,4.8482765,14.7207725
49,24.0191432,7.797153375,3.7227703,9.5017263,5.84983458,1.13528123,1.36302563,9.29285085,3.54568399,2.93841739,4.9379482,14.9343965
50,24.3112272,8.307355375,3.7559212,9.5788526,5.89548478,1.16724273,1.38895123,9.69084985,3.54780343,2.98091339,5.0106395,15.0891145
51,24.7668872,8.577234375,3.7679778,9.6217217,5.92011988,1.18870383,1.39738273,9.98310685,3.55372824,3.15153639,5.0605859,15.1683374
52,25.6070402,9.012800375,3.7841944,9.6571915,6.11754088,1.19288898,1.44873753,10.29495785,3.58664984,3.46289539,5.1816899,15.1791152
53,25.8090062,9.282842375,3.8163299,9.6939471,6.33963588,1.22052518,1.46588123,10.41370085,3.66024304,4.03277639,5.2371882,15.2383303
54,26.2336812,9.457733375,3.8470146,9.7045654,6.56312188,1.24565388,1.49379643,10.52148285,3.80465504,4.73472639,5.3280543,15.24662318
55,26.4414872,9.599758375,3.8637959,9.7225481,6.75319688,1.27400918,1.50599723,10.56196615,3.93838304,5.79390639,5.4407273,15.28582288
56,26.5961802,9.873622375,3.875313,9.753139,7.09044088,1.31164098,1.54970813,10.61200175,4.02427024,6.59779639,5.5070186,15.30626328
57,26.8064352,10.100434375,3.9162982,9.7648944,7.41520888,1.32799398,1.56608123,10.64328215,4.05649354,7.51480639,5.5682465,15.32740038
58,26.9022926,10.286092375,3.9317712,9.8036624,7.59670288,1.33934958,1.57558755,10.67025445,4.07226294,8.30435039,5.6552024,15.33961568
59,27.0909726,10.518901375,3.9608266,9.8036624,7.77207388,1.34842967,1.59023815,10.72304715,4.08475594,9.14838739,5.7663414,15.34863199
60,27.2122456,10.642801375,4.0079594,9.8226955,7.90943488,1.37836547,1.61065815,10.83665415,4.09023029,9.90008739,5.7769106,15.35700758
61,27.3562566,10.876196375,4.0350018,9.8417286,8.11511888,1.40893277,1.64623005,10.92537535,4.0995382,10.67818239,5.8571212,15.36834158
62,27.8636846,11.067633375,4.03806286,9.8557472,8.18241798,1.43127817,1.65481383,11.20453835,4.10939154,11.59404939,5.8900344,15.39627998
63,28.3295506,11.184601375,4.04555353,9.8840297,8.22165478,1.46725187,1.66636583,11.45699935,4.11924488,12.33321539,5.9547379,15.41333038
64,28.6123696,11.331916375,4.06616563,9.8985472,8.23613378,1.49025957,1.66967137,11.85390735,4.14118428,13.03368439,6.0021717,15.42610978
