"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"TEMP",1.8482197,3.7197374,1.5623538,1.6903871,1.1496006,1.3134131,8.842775,1.27196665,1.9984638,1.2400425,1.451858,3.2192976
"TEMP",2.0939317,4.0923654,1.6697768,1.8734311,1.2868346,1.40256,9.357341,1.75624965,2.0089492,1.3532355,1.717279,3.4930606
"TEMP",2.0814971,4.1407364,1.7988547,1.9729536,1.3786539,1.27914,9.221373,1.73018165,1.8695462,1.3139775,1.481729,3.5183956
"TEMP",2.0312711,3.9860494,1.7818997,2.0420124,1.8003004,1.296307,9.669792,2.01466445,1.7666942,1.1424466,1.56548,3.1279506
"TEMP",2.0575721,4.1784475,1.8459737,2.1385304,1.9326484,1.3905851,8.9663071,2.55202345,1.9793762,1.0496236,1.496108,2.626789
"TEMP",1.9946641,4.2381455,1.7767667,2.1571674,2.0525604,1.5307162,9.5469431,2.67942885,2.4171712,1.3336285,1.3982994,2.680503
"TEMP",1.574794,3.5785285,1.7568527,2.1279364,1.9811444,1.7210732,9.6302261,2.7369521,2.5939452,1.1550535,1.3467032,2.4185846
"TEMP",1.771634,3.915234,1.912299,2.3811217,1.8129588,2.1369889,9.4379281,2.9844794,2.5464248,1.1920172,1.4003487,2.5743266
"TEMP",2.0524797,3.782281,2.067383,2.4104472,1.8863337,2.0978289,6.8117521,3.1493812,2.24006471,1.3669536,1.1950737,2.788881
"TEMP",2.0880727,3.917029,1.98535,2.2168892,1.8648915,2.0813077,3.9844921,2.6197262,1.85759361,1.3550269,1.1187105,2.364669
"TEMP",2.0096737,4.007425,1.7229322,1.7826908,1.8554121,1.9582855,4.1896761,2.5764751,1.62853061,1.0743595,0.9512475,2.2514109
"TEMP",2.4883477,4.1941,1.6576246,1.7631088,1.7390538,1.9676825,4.4580751,2.183865,1.75270021,1.0230836,0.8268765,2.3995569
"TEMP",2.6899209,5.02314,2.0985586,1.7580468,2.0679848,1.9115765,4.3472851,2.189418,2.15947121,1.0584646,0.773808,2.4909329
"TEMP",2.589557,5.05331,2.1708156,1.9615856,2.0732588,1.8900625,4.4515661,1.9135566,2.05877261,1.0812765,0.61457083,2.1365248
