"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"TEMP",1.5641632,1.51305481,1.0214375,1.9018378,1.7219284,3.3415948,0.5839397,1.2824832,1.4495092,1.0799904,1.3418625,3.8922971
"TEMP",1.8302792,1.59432921,1.0820087,2.1603358,1.9037394,3.380814,0.8263067,1.362335,1.6350912,1.107928,1.5103605,4.1525501
"TEMP",1.8324952,1.63340871,1.3944752,2.1884608,1.7423714,3.108117,0.8347141,1.3040509,1.7278572,1.146748,1.6386258,3.5439691
"TEMP",1.9050429,1.92572841,1.3349299,2.3080268,1.6274834,3.007947,0.8555438,1.3563496,1.7839969,1.0489843,1.56971297,2.8096651
"TEMP",1.8724991,2.05117741,1.6289828,2.4107388,1.6248646,2.3263922,0.9071278,1.2712336,1.5810809,0.9101836,1.51524897,2.322227
"TEMP",2.1473829,2.30733851,1.4756192,2.545444,1.8388006,2.6471312,1.0151696,1.1519539,1.6243477,0.889752,1.39192377,2.485884
"TEMP",2.0503853,2.5643284,1.4815352,2.424375,2.0555366,3.1281034,1.1382938,1.2505005,1.4884927,0.7107007,1.29133887,2.434061
"TEMP",1.7013387,2.4008764,1.5615737,2.64653,2.1286135,2.4158434,1.2059694,1.3019595,1.2045137,0.6228795,1.26020087,2.8231599
"TEMP",1.5402967,2.1782041,1.7439333,2.5693462,1.8740187,3.0682094,1.1849019,1.5857965,1.438778,0.7316013,1.26435987,2.7328299
"TEMP",1.3643917,1.8928136,1.8221489,2.4470452,1.7509915,2.9734184,1.3366504,1.6302272,1.4160494,0.7698173,1.45372737,2.4085068
"TEMP",1.4341946,1.7908136,1.8835339,2.3597842,1.6039774,2.9443914,1.3698568,1.4777832,1.4206045,0.906778,1.40845037,2.3417878
"TEMP",1.2705746,1.9270542,2.1428827,2.1251393,1.4824693,3.1191882,1.2185364,1.6381094,1.3405835,0.9806524,1.39016137,2.1213611
"TEMP",1.5027136,1.9800092,1.8108581,2.2121463,1.3892042,3.2519262,1.3597011,1.8173373,1.1926407,1.0166484,1.71348437,2.0303753
"TEMP",1.8529351,2.0710502,1.7970846,2.0331773,1.4846522,3.1870062,1.6522594,1.9122413,1.09942,1.0144746,1.774025,2.2022523
"TEMP",2.2966768,2.3011122,1.4977821,1.8394393,1.6318117,3.2090807,1.6306254,1.8474706,1.265136,0.9892221,1.798271,2.3511514
"TEMP",2.3257388,2.3237982,1.5997147,1.7805964,1.4278737,2.9774557,1.5142945,2.0718803,1.578472,1.0540968,1.8421373,1.9663064
"TEMP",2.3226831,2.0722339,1.6101587,1.9088554,1.1423157,3.2187867,1.3615334,1.9746537,1.5219284,1.2043951,1.8912976,1.7501607
"TEMP",2.3571317,2.1466549,1.5711997,1.7202414,1.1249027,3.6431887,1.5459174,1.9882057,1.4452462,1.3685623,1.9473496,1.3176418
"TEMP",2.2458183,2.5225782,1.4537747,1.7021173,1.3144515,2.8523806,1.6557669,1.6462457,1.2166803,1.6245233,1.8252599,1.5538568
"TEMP",2.2333783,2.7230647,1.3976475,1.7480633,1.5617537,2.8697426,1.5713507,1.6127602,1.4593533,1.6127643,1.9932379,1.8526769
"TEMP",2.2515863,2.5591385,1.1841835,1.7461176,1.6643628,3.1918996,1.7465284,1.6873452,1.5589348,1.6292603,1.8981091,1.7403549
"TEMP",2.2629393,2.4510355,0.9421732,2.2059205,1.6904779,3.2979686,1.8019118,1.5292082,1.5673818,1.7153823,1.7761393,1.7141919
"TEMP",1.8866553,2.4296225,1.1302268,2.1069805,1.6792911,3.3823346,1.8532858,1.4674222,1.5501187,1.6614613,1.2971271,1.8081137
"TEMP",1.4651838,2.0947305,1.1264493,1.8579391,1.6925701,3.3197456,1.9101278,1.3308468,1.6326224,1.6902772,1.2951857,1.5993161
"TEMP",1.1711668,1.6601441,1.2220288,1.8207037,1.4937244,3.3050898,2.2462438,1.3644265,1.4983154,1.8860984,1.1324667,1.4060577
"TEMP",1.0130598,1.3845339,1.1723168,1.9273096,1.6452834,3.1757838,2.3240837,1.1146204,1.1341165,2.0001614,1.3108916,1.3870237
"TEMP",1.1505351,1.4585673,1.1436528,1.8704056,1.6499094,2.4521347,2.4964458,1.20224,1.1346548,1.9637544,1.3075659,1.4465614
