"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"43",1.56533885,0.955178176,0.9928211,0.827333016,1.95993533,1.49150938,1.72839229,1.19342262,1.6328482,1.68530093,5.71645105,1.30573678
"44",1.66938585,0.988053276,1.0128097,0.856232516,1.99020103,1.50380568,1.73494523,1.21364912,1.63991495,1.70249143,6.91984105,1.32195608
"45",1.74579965,1.001802276,1.040268,0.865824306,1.99020103,1.51199922,1.73864203,1.21881123,1.66878265,1.74884433,8.73746105,1.32965606
"46",1.75596635,1.043442276,1.0621373,0.872691026,2.00546703,1.58003772,1.75421343,1.25101483,1.75508015,1.79483793,10.70135105,1.39516466
"47",1.79248455,1.095110276,1.0731975,0.886460526,2.00699017,1.64994212,1.78559773,1.25101483,1.81016875,1.79911297,11.89337105,1.42055126
"48",1.85427095,1.108289276,1.07845499,0.897163826,2.04015177,1.66042412,1.82122053,1.26156473,1.84328295,1.80664604,13.82858105,1.51204126
"49",1.89944255,1.110215326,1.09393729,0.908920226,2.05609887,1.69771632,1.87886463,1.26156473,1.88084945,1.81608502,15.29533105,1.61142956
"50",1.95502805,1.114460706,1.12204429,0.919071126,2.09272877,1.71615092,1.97660043,1.26581803,1.91169645,1.83145182,17.03339105,1.61142956
"51",2.03294595,1.123211146,1.13403649,0.929555326,2.11235907,1.75332832,2.00207913,1.27598073,1.95121395,1.83558328,18.63799105,1.61868995
"52",2.12058145,1.143287946,1.15816189,0.938452696,2.14032087,1.77035672,2.00703971,1.30585713,2.01785835,1.88977608,20.08693105,1.63006225
"53",2.17490915,1.160230446,1.17745299,0.953668996,2.15213757,1.82243682,2.01847431,1.31187131,2.06177765,1.90563308,21.74485105,1.65649455
"54",2.19519265,1.192474846,1.19863849,0.968350896,2.27195857,1.88390862,2.02564926,1.31797786,2.09486025,1.95185858,23.79925105,1.67084055
"55",2.22645005,1.229074646,1.20596598,0.982541296,2.27195857,1.91439372,2.10271216,1.36844066,2.12557145,2.01038138,25.59124105,1.68193775
"56",2.31757515,1.287844346,1.22499688,0.982541296,2.28314457,1.92182999,3.04799516,1.37467845,2.13119987,2.05205278,27.01161105,1.75655715
"57",2.43166015,1.297111756,1.25442898,0.982541296,2.29433057,1.95270059,3.78898216,1.42901325,2.13525776,2.11933898,28.16077105,1.81710485
"58",2.49572275,1.305714536,1.27388338,0.982541296,2.29433057,1.96729709,4.34300916,1.44481255,2.16766246,2.14549808,29.64690105,1.82192509
"59",2.55781035,1.330790336,1.27974107,1.010770796,2.32817787,1.99864899,5.82959916,1.46368765,2.16766246,2.15030989,30.42829905,1.88021309
"60",2.63681315,1.339737166,1.30041877,1.027384496,2.35223547,2.01125379,7.51046916,1.47574485,2.17828336,2.21965499,31.06178105,1.92472569
"61",2.70849225,1.356776666,1.34747327,1.039265796,2.39730907,2.01950879,8.83459916,1.51911225,2.19231856,2.23592729,31.88076705,1.99038709
"62",2.73594155,1.390868166,1.39021277,1.056308096,2.40069089,2.04094129,10.28657916,1.52893581,2.20054525,2.26108969,32.52415105,1.9982795
"63",2.76953615,1.408105666,1.39180541,1.063256886,2.40407271,2.05278279,11.87850916,1.53155566,2.25251075,2.26961767,32.84514705,2.0543102
"64",2.79731295,1.451525666,1.40673821,1.063256886,2.43116851,2.11742469,13.14198916,1.56575936,2.28697465,2.33810737,33.45168105,2.1019503
"65",2.83331615,1.465753166,1.41890021,1.083270686,2.43839134,2.13601959,13.90390916,1.60120336,2.30236815,2.40575137,34.04995605,2.1201283
"66",2.83864212,1.479005966,1.45393381,1.097316386,2.44570661,2.18418659,14.71654516,1.61154486,2.33665185,2.42806217,34.30318705,2.12633298
"67",2.85321292,1.500114766,1.45647472,1.102010796,2.52087621,2.21613669,15.76214516,1.64711646,2.38973625,2.49863147,34.77815505,2.12633298
"68",2.87849352,1.524318066,1.46239929,1.110908166,2.69079521,2.23619209,16.70890516,1.65575494,2.45963415,2.55264947,35.12059205,2.13749028
"69",2.92415662,1.532314466,1.47841409,1.123620366,2.74713711,2.25027319,17.33225116,1.68179614,2.47666135,2.56343027,35.55925805,2.21457668
"70",2.94119862,1.552338966,1.49928079,1.130830816,2.75893651,2.28762379,17.82676616,1.68445596,2.51045125,2.57433027,35.95968305,2.24760228
"71",2.95818762,1.581923066,1.53477829,1.130830816,2.79595931,2.36246629,18.49312116,1.72737006,2.54424115,2.58231819,36.06220905,2.28132588
"72",3.03547992,1.622175766,1.86955729,1.150154516,2.80130537,2.62838129,18.68958916,1.74594496,2.56900645,2.58639603,36.32738805,2.31504948
"73",3.09403902,1.648243366,2.65349529,1.159910906,2.81933947,3.13093629,18.95627016,1.77936396,2.59981685,2.60722183,36.42839405,2.38738298
"74",3.12483502,1.669922266,3.51194329,1.169945206,2.86051487,3.79347329,19.54506816,1.84186976,2.60437698,2.63566733,36.51789155,2.49867198
"75",3.19261102,1.681011266,4.51616329,1.169945206,2.88617787,4.38701729,20.16344316,1.88571406,2.66536878,2.64955903,36.69020655,2.51653588
"76",3.24051762,1.695611866,5.61466329,1.178151646,2.89509556,6.34229729,20.64946816,1.90249356,2.69885638,2.66511363,36.90331955,2.52752718
"77",3.27417882,1.718896566,5.89426629,1.190989646,2.94245866,8.19642729,21.05615516,1.94772926,2.70735267,2.68149843,37.41945655,2.56261138
"78",3.28722232,1.745225566,6.35574029,1.205604546,2.97678726,10.00202729,21.39337016,2.04486956,2.73773197,2.71351773,37.70886055,2.58078838
"79",3.30000972,1.776386366,6.79135329,1.217739446,3.05727896,11.56478729,21.47115596,2.13119806,2.77918597,2.72521403,38.09243555,2.60655118
"80",3.31043052,1.782532596,7.08376229,1.237195946,3.15793896,13.21658729,22.31824596,2.16180226,2.87363127,2.79746993,38.43390255,2.64369668
"81",3.37493992,1.803661496,7.66302029,1.260247546,3.21033216,15.11040729,22.81665696,2.16590443,2.90455247,2.82151083,38.87715455,2.72526878
"82",3.39203572,1.831011096,8.84561029,1.267202976,3.24405916,16.99686729,23.31857496,2.19437283,2.96450657,2.88772603,39.28710155,2.76275248
"83",3.41675612,1.876244196,10.03510029,1.279386876,3.27797726,18.81602729,23.77758196,2.26737023,3.04740767,2.91285553,39.70793155,2.77021956
"84",3.45712992,1.931860896,11.34999029,1.283385856,3.28311635,20.70463729,23.82428396,2.30294183,3.06417167,2.92256369,40.24840055,2.78391106
"85",3.50213062,2.003581596,12.32248429,1.298498656,3.33788705,22.51974729,23.95859596,2.303441843,3.07090959,2.94211329,40.29042845,2.79884296
"86",3.58234142,2.040500596,13.54072429,1.316561856,3.37176145,23.85248729,24.11979396,2.303941856,3.10232529,2.95132774,40.68708645,2.81301826
