"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"TEMP",1.08597,2.1619926,1.620582,3.8584292,6.787865,0.9636208,0.7736715,2.2871211,1.4722973,1.5464407,2.118268,4.5260828
"TEMP",1.1445811,2.4804506,1.915903,4.3310602,6.936357,1.0161161,0.9547045,2.3213746,1.9595813,1.636795,2.236378,4.5940089
"TEMP",1.5417921,2.5261996,2.136147,5.4029612,6.264829,0.9710668,1.0868135,1.3816823,2.1415867,1.6663964,2.0602193,4.27626
"TEMP",2.2285609,2.7447836,2.144708,6.8203422,5.5458337,0.9981815,1.072489,1.2657463,1.9945587,1.6190006,1.6348422,4.087107
"TEMP",4.8084865,3.2796111,2.230602,6.4624262,5.2400292,1.0553299,1.0727897,1.3104397,1.7409727,1.5522833,1.7729282,3.6420438
"TEMP",7.340619,3.6570751,2.321329,7.3151816,4.2442696,1.0604186,1.1381891,1.0338833,2.1647537,1.342872,1.9636122,3.2074718
"TEMP",11.136578,5.494625,2.317235,8.0416,2.9407188,0.7137475,1.1785142,0.9494013,3.3197008,1.1148469,2.1324732,2.6514958
"TEMP",14.447447,7.41554,2.55552,8.651182,1.8998058,0.6972365,1.1043022,0.8712077,3.5941683,0.8685545,1.9939252,2.5799638
"TEMP",16.5980591,8.324149,2.714513,8.79864,1.1439602,0.6857315,1.0193779,0.6274901,4.694355,0.9019505,2.0807922,2.7024828
"TEMP",20.2244451,8.372807,2.771816,8.916504,0.9066847,0.7418219,0.9541611,0.580088,4.699593,1.0447747,2.2194712,3.8503418
"TEMP",24.2799181,8.251932,2.884193,9.310317,0.8400007,0.7504623,0.9260286,0.5926778,5.24318,1.4307653,2.5432512,7.449723
"TEMP",24.221307,8.093391,2.862025,9.433135,1.6113107,0.7965957,0.8382839,0.6944973,5.301205,1.464548,2.6358252,9.5393169
"TEMP",23.731061,7.895873,2.848312,8.223637,2.0556287,0.8154991,0.7294093,1.6390196,6.207487,1.5968314,2.9188429,12.1157308
"TEMP",24.26203,8.147843,2.91472,6.986968,3.091709,1.0090827,0.8252155,2.2234506,6.707732,1.6991489,3.362813,15.4852808
"TEMP",22.535383,7.842602,3.109415,6.690524,3.7105255,1.013749,0.8702525,2.9814076,6.947498,1.690757,3.336119,18.399758
"TEMP",20.334985,7.491752,3.146687,6.404818,4.2606381,0.9566948,0.7813998,4.14545,6.460878,1.6430819,3.438581,21.095351
"TEMP",17.695865,5.5847771,2.974327,6.441925,4.6804989,0.8921105,0.7913128,4.953479,5.2782553,1.735372,3.302824,24.241076
"TEMP",17.854295,3.39117726,2.63564,6.235478,4.7072709,0.7513445,0.7360702,6.1581686,5.0202991,1.7797244,3.542387,26.778085
"TEMP",19.604755,2.19097406,2.821392,6.215919,4.733879,0.732379,0.76349,7.4162382,3.8766135,1.5527405,3.610261,27.93902
"TEMP",19.533095,1.86073756,2.765281,6.521694,4.7185673,0.7193601,0.8694959,8.5079982,3.7682405,1.5770105,3.631249,27.3133
"TEMP",18.473275,1.69301956,2.644649,6.347587,4.6780683,0.6852758,0.9092526,9.574065,2.9106298,1.2444294,3.1176763,24.526061
"TEMP",19.40664,1.62502146,2.533242,6.360021,3.9102513,0.6034904,0.8890894,10.683492,2.4572912,1.2008928,3.2973323,22.9803
"TEMP",20.091937,1.53710546,2.2408543,6.44463,3.7036453,0.5663085,0.8824423,10.779213,1.3624257,1.1614668,3.2535713,20.756332
"TEMP",19.362474,1.16601446,2.2936173,6.377908,3.0567763,0.3530893,0.7684424,10.794845,0.8205572,1.2967908,3.2423813,17.543937
"TEMP",19.295442,1.04450446,2.4970773,6.435294,2.9110273,0.4503379,0.7826984,11.230721,0.6531203,1.3039717,3.4090773,15.355069
"TEMP",21.36275,1.02539546,2.6964793,6.240763,2.6436483,0.5134879,0.8348975,10.875088,0.5864808,1.9626211,3.1491243,12.515115
"TEMP",23.2589,1.02395246,2.8068003,6.005573,2.8707323,0.5290284,0.7779799,11.162427,0.5496713,2.3301651,3.1621003,9.495284
"TEMP",21.81855,1.2741853,2.8958003,5.892881,3.2027483,0.5503673,0.7936917,11.170937,0.5516597,2.4862981,3.0991103,7.30909
"TEMP",19.8992,1.9072675,2.9405973,5.92096,4.0254808,0.5451204,0.8628502,11.165417,0.5999065,2.635685,3.0798503,6.581602
"TEMP",16.776089,1.989026,3.2129993,5.577997,4.34257,0.5467874,0.7572762,10.991494,0.5345222,2.621734,3.2608633,6.236502
"TEMP",14.106729,2.21328,3.1180673,5.574964,4.3013729,0.558226,0.7283321,10.462774,0.6381299,2.5590659,3.822114,5.80958
"TEMP",14.505434,2.3391261,3.1856613,5.580543,4.1594786,0.5642041,0.693429,9.497446,0.5590317,2.5770641,3.859032,5.403017
"TEMP",16.076947,2.2435845,3.1936902,5.555165,3.9173356,0.53935509,0.7421367,8.791015,0.5763172,2.4445328,4.279941,5.413631
"TEMP",18.13335,2.0581108,3.0274802,5.632786,3.6673016,0.66502229,0.7108368,8.213067,0.56736999,2.3166348,4.163594,5.153444
"TEMP",17.9538,1.9679918,2.4454519,5.589189,3.2225594,0.49954444,0.6164076,7.018303,0.50581199,2.9277981,3.927199,4.4048621
"TEMP",16.99737,2.6010398,2.0607116,5.52367,3.1430224,0.47583174,0.6328142,6.2711366,0.53876899,2.4044761,3.942994,4.3842081
"TEMP",14.08909,3.3969567,1.8880356,5.268531,2.4573184,0.47073924,0.7305678,5.4439716,0.56377299,2.3680301,4.101438,4.1744711
"TEMP",13.10171,4.7037937,1.7532896,4.988812,2.0790049,0.48420354,0.7147287,5.2932516,0.55375349,2.1656517,4.032789,3.8777811
"TEMP",13.28777,7.2177747,1.2887666,4.549179,1.1955318,0.52019014,0.6623896,5.3646016,0.48810569,2.0242826,4.027712,3.2054671
"TEMP",14.548941,9.3902077,1.0214146,4.0874305,0.9995768,0.47978774,0.8141236,5.4970146,0.47950099,2.0581826,3.851306,2.9131911
"TEMP",14.916375,10.5774617,0.9892509,3.6171275,1.0618349,0.54071434,0.8254886,6.1274546,0.3687551,2.1532868,3.41589,2.9115821
"TEMP",14.949945,11.1685407,0.7960453,3.1321465,1.1255773,0.58221324,0.8125363,6.7231966,0.3736399,2.5660542,3.138324,2.9438221
"TEMP",15.211125,12.4153783,0.7631561,2.6210885,1.6089013,0.58538865,0.8491823,7.3111556,0.428518,3.4788815,2.794858,2.5451379
"TEMP",13.240189,13.159938,0.7675263,2.1916975,2.0804383,0.51955825,0.8755758,7.4525036,0.64112971,5.0338905,2.613608,2.5168719
"TEMP",13.843818,13.571453,0.8152566,1.6617121,2.6898685,0.5857734,0.9199306,7.6631176,1.04358761,6.4713535,2.739799,2.5082061
"TEMP",12.966615,13.244672,0.8143196,1.3424724,2.9961495,0.5904706,0.8667982,7.692478,1.36866211,9.4652655,2.779716,2.2448381
"TEMP",13.04736,13.25207,0.777074,1.1246062,4.0068895,0.667094,0.8434152,7.465413,1.56879931,11.3725405,2.54179,2.1989073
"TEMP",12.420898,12.373329,0.831864,1.0341847,4.892899,0.6813016,0.8473684,6.4590822,1.62168091,14.0583229,2.478382,2.0450604
"TEMP",10.493299,9.751568,0.8191815,1.0012507,5.4001451,0.6459784,0.8156915,5.1784199,1.64673931,16.325346,2.418405,1.8547125
"TEMP",9.206466,8.15725,0.7134694,0.9049202,5.7610721,0.6388194,0.6809693,4.2863929,1.61563251,18.611672,2.482743,1.2414909
"TEMP",8.694534,6.999476,0.7553741,0.7308115,6.0359331,0.6327479,0.6644687,3.4340499,1.6256874,20.737199,2.2965595,0.8028931
"TEMP",7.760505,6.890132,0.8002874,0.6593738,6.578547,0.6600398,0.74581,2.8240389,1.6358268,22.557833,2.3872635,0.5994258
"TEMP",6.763305,6.15846,0.7608596,0.5950834,6.188565,0.7144673,0.6176231,2.7260709,1.5666898,24.36958,2.1229505,0.6508572
"TEMP",7.554231,5.699688,0.6869974,0.5696888,5.640526,0.7394547,0.6008644,3.1268339,1.3756579,24.87694,2.1505385,0.5244862
"TEMP",7.129078,5.617043,0.6568091,0.581375,5.0141194,0.733098,0.5271077,3.9933639,1.0085996,24.8725,2.0203695,0.5379327
"TEMP",7.20811,5.924836,0.7467764,0.6792097,4.4747055,0.8834675,0.5158541,5.2163229,0.7210896,22.467329,1.7081341,0.4627802
"TEMP",7.050083,5.830956,0.857094,0.6000642,3.4887605,0.9309775,0.4354795,6.3973229,0.4943807,20.620624,1.6412601,0.41038329
